NPK_PO4_0_8mgL_newทดสอบระบบ 30 :27/03/2024,17:20:44
0,1,White,2
159,0,Black,3
160,0,Black,3
161,0,Black,3
162,0,Black,4
163,0,Black,3
164,0,Black,3
165,0,Black,3
166,0,Black,4
167,0,Black,3
168,1,White,3
169,2,White,987
170,3,White,986
171,4,White,984
172,5,White,990
173,6,White,985
174,7,White,989
175,8,White,986
176,9,White,985
177,10,White,985
178,11,White,989
179,12,White,984
180,13,White,988
181,14,White,985
182,15,White,985
183,16,White,989
184,17,White,987
185,18,White,988
186,19,White,984
187,20,White,986
188,21,White,985
189,22,White,989
190,23,White,987
191,24,White,989
192,25,White,988
193,26,White,990
194,27,White,987
195,28,White,988
196,1,Red,986
197,2,Red,973
198,3,Red,976
199,4,Red,971
200,5,Red,973
201,6,Red,972
202,7,Red,974
203,8,Red,972
204,9,Red,970
205,10,Red,971
206,11,Red,970
207,12,Red,972
208,13,Red,977
209,14,Red,976
210,15,Red,975
211,16,Red,974
212,17,Red,972
213,18,Red,970
214,19,Red,972
215,20,Red,973
216,21,Red,972
217,22,Red,970
218,23,Red,974
219,24,Red,970
220,25,Red,971
221,26,Red,976
222,27,Red,970
223,28,Red,971
224,1,Green,971
225,2,Green,972
226,3,Green,976
227,4,Green,972
228,5,Green,976
229,6,Green,969
230,7,Green,976
231,8,Green,971
232,9,Green,972
233,10,Green,969
234,11,Green,970
235,12,Green,973
236,13,Green,976
237,14,Green,973
238,15,Green,974
239,16,Green,976
240,17,Green,976
241,18,Green,970
242,19,Green,970
243,20,Green,976
244,21,Green,975
245,22,Green,971
246,23,Green,972
247,24,Green,969
248,25,Green,972
249,26,Green,972
250,27,Green,971
251,28,Green,975
252,1,Blue,975
253,2,Blue,973
254,3,Blue,977
255,4,Blue,970
256,5,Blue,974
257,6,Blue,976
258,7,Blue,974
259,8,Blue,977
260,9,Blue,972
261,10,Blue,977
262,11,Blue,972
263,12,Blue,973
264,13,Blue,972
265,14,Blue,973
266,15,Blue,977
267,16,Blue,971
268,17,Blue,971
269,18,Blue,977
270,19,Blue,974
271,20,Blue,977
272,21,Blue,976
273,22,Blue,973
274,23,Blue,975
275,24,Blue,973
276,25,Blue,977
277,26,Blue,974
278,27,Blue,975
279,28,Blue,976
280,1,Black,973
281,2,Black,2
282,3,Black,3
283,4,Black,3
284,5,Black,3
285,6,Black,3
286,7,Black,3
287,8,Black,3
288,9,Black,3
289,10,Black,3
290,11,Black,3
291,12,Black,3
292,13,Black,3
293,14,Black,3
294,15,Black,3
295,16,Black,3
296,17,Black,3
297,18,Black,3
298,19,Black,3
299,20,Black,3
300,21,Black,3
301,22,Black,3
302,23,Black,4
303,24,Black,3
304,25,Black,3
305,26,Black,4
306,27,Black,2
307,28,Black,3
308,0,Black,3
309,0,Black,3
310,0,Black,4
311,0,Black,3
312,0,Black,3
313,0,Black,4
314,0,Black,3
315,0,Black,3
316,0,Black,4
317,0,Black,4
318,0,Black,3
319,0,Black,3
320,0,Black,3
321,0,Black,3
322,0,Black,3
323,0,Black,3
324,0,Black,3
325,0,Black,3
326,0,Black,3
327,0,Black,4
328,0,Black,3
329,0,Black,3
330,0,Black,4
331,0,Black,3
332,0,Black,3
333,0,Black,3
334,0,Black,3
335,0,Black,3
336,1,White,4
337,2,White,984
338,3,White,989
339,4,White,986
340,5,White,987
341,6,White,984
342,7,White,984
343,8,White,987
344,9,White,985
345,10,White,987
346,11,White,988
347,12,White,986
348,13,White,985
349,14,White,985
350,15,White,987
351,16,White,988
352,17,White,988
353,18,White,986
354,19,White,984
355,20,White,984
356,21,White,984
357,22,White,985
358,23,White,984
359,24,White,985
360,25,White,984
361,26,White,988
362,27,White,986
363,28,White,988
364,29,White,984
365,1,Red,986
366,2,Red,973
367,3,Red,972
368,4,Red,974
369,5,Red,970
370,6,Red,974
371,7,Red,974
372,8,Red,970
373,9,Red,975
374,10,Red,970
375,11,Red,973
376,12,Red,972
377,13,Red,969
378,14,Red,969
379,15,Red,977
380,16,Red,970
381,17,Red,970
382,18,Red,972
383,19,Red,976
384,20,Red,973
385,21,Red,974
386,22,Red,973
387,23,Red,975
388,24,Red,972
389,25,Red,975
390,26,Red,975
391,27,Red,973
392,28,Red,973
393,1,Green,971
394,2,Green,973
395,3,Green,973
396,4,Green,969
397,5,Green,969
398,6,Green,970
399,7,Green,975
400,8,Green,974
401,9,Green,970
402,10,Green,973
403,11,Green,971
404,12,Green,971
405,13,Green,969
406,14,Green,976
407,15,Green,970
408,16,Green,970
409,17,Green,975
410,18,Green,972
411,19,Green,973
412,20,Green,970
413,21,Green,971
414,22,Green,976
415,23,Green,972
416,24,Green,969
417,25,Green,970
418,26,Green,973
419,27,Green,974
420,28,Green,974
421,1,Blue,972
422,2,Blue,975
423,3,Blue,972
424,4,Blue,975
425,5,Blue,972
426,6,Blue,974
427,7,Blue,978
428,8,Blue,972
429,9,Blue,977
430,10,Blue,972
431,11,Blue,977
432,12,Blue,972
433,13,Blue,974
434,14,Blue,973
435,15,Blue,977
436,16,Blue,972
437,17,Blue,975
438,18,Blue,970
439,19,Blue,976
440,20,Blue,976
441,21,Blue,975
442,22,Blue,974
443,23,Blue,973
444,24,Blue,972
445,25,Blue,971
446,26,Blue,977
447,27,Blue,972
448,28,Blue,971
449,1,Black,976
450,2,Black,3
451,3,Black,3
452,4,Black,3
453,5,Black,3
454,6,Black,4
455,7,Black,3
456,8,Black,3
457,9,Black,3
458,10,Black,4
459,11,Black,3
460,12,Black,3
461,13,Black,3
462,14,Black,3
463,15,Black,3
464,16,Black,3
465,17,Black,3
466,18,Black,3
467,19,Black,3
468,20,Black,3
469,21,Black,4
470,22,Black,3
471,23,Black,4
472,24,Black,3
473,25,Black,3
474,26,Black,3
475,27,Black,3
476,28,Black,3
477,0,Black,3
478,0,Black,3
479,0,Black,4
480,0,Black,3
481,0,Black,3
482,0,Black,3
483,0,Black,3
484,0,Black,3
485,0,Black,3
486,0,Black,3
487,0,Black,3
488,0,Black,4
489,0,Black,3
490,0,Black,3
491,0,Black,3
492,0,Black,4
493,0,Black,3
494,0,Black,3
495,0,Black,3
496,0,Black,3
497,0,Black,3
498,0,Black,3
499,0,Black,2
500,0,Black,3
501,0,Black,3
502,0,Black,3
503,0,Black,4
504,0,Black,3
505,1,White,3
506,2,White,985
507,3,White,989
508,4,White,984
509,5,White,984
510,6,White,986
511,7,White,988
512,8,White,985
513,9,White,989
514,10,White,989
515,11,White,985
516,12,White,988
517,13,White,984
518,14,White,987
519,15,White,984
520,16,White,984
521,17,White,984
522,18,White,986
523,19,White,985
524,20,White,985
525,21,White,988
526,22,White,984
527,23,White,987
528,24,White,984
529,25,White,984
530,26,White,987
531,27,White,984
532,28,White,986
533,1,Red,987
534,2,Red,969
535,3,Red,972
536,4,Red,973
537,5,Red,972
538,6,Red,976
539,7,Red,971
540,8,Red,969
