Order,Color,MSD_P100_No_Reag.csv,MSD_P100_day2.csv,MSD_P100_day1.csv,P100_day2.csv,P100_day1.csv,MSD_P100_2.csv,MSD_P100_3.csv,P100_2.csv,P100_3.csv,P100_No_Reag.csv
7,Red,,,,2.036570413125715,2.652043237455478,,,15.00380904018328,9.148770409186145,2.9423023055326634
7,White,,,,3.39817878393987,3.02450310755652,,,32.52625313277173,22.643931174767772,4.139243087006767
8,Black,,,,0.5104177855340404,0.5871429486123999,,,0.7163503994113789,0.5525062514530825,0.7591546545162481
8,Blue,,,,1.2343760409722464,1.7013926184468007,,,8.022829268636109,6.652265146470591,2.0072237962970187
8,Green,,,,2.494203807145467,1.5312533566021211,,,8.50680841877165,5.575085555161314,2.5420276870846186
8,Red,,,,2.1821789023599236,2.0154167712671156,,,14.39907404430345,9.52665433702424,2.6520432374554788
8,White,,,,3.389760491609421,3.7594325812991185,,,33.24325925227979,21.8818254657669,3.5200108224941866
9,Black,,,,0.4893604849295928,0.523148363780597,,,0.4701623459816272,0.47016234598162726,1.1641577031891932
9,Blue,,,,1.7614288458371994,1.341640786499874,,,8.281240690163585,6.156725035105489,3.133435981894569
9,Green,,,,2.163695668842646,1.6091841672756193,,,8.025616880700792,5.668704483946569,2.7548999408709065
9,Red,,,,2.447544931247677,2.2719825619719805,,,14.867670262943651,8.823129776197275,3.6101708177499567
9,White,,,,3.6272776096051382,3.8619018260807363,,,32.85444088269172,21.4393940923623,4.295069155161423
10,Black,,,,0.7181848464596078,0.5525062514530825,,,0.5104177855340405,0.5525062514530825,1.2096106376585989
10,Blue,,,,1.7252002172135512,1.1742858972247998,,,7.444354978950937,5.641948151779523,2.7810448623342494
10,Green,,,,2.230765740608747,1.9761738683361685,,,8.49690346073513,4.791439735282288,2.521486612465376
10,Red,,,,2.290768222151479,2.0470652628766346,,,15.160098001944824,9.188502131934861,2.795404391905695
10,White,,,,4.057327292923851,3.6781206381209732,,,33.29550234176498,22.394939904660017,3.633180424916972
11,Black,,,,0.6386663736585051,0.638666373658505,,,0.6048053188292993,0.5501196042201808,0.9787209698591858
11,Blue,,,,1.1742858972247996,1.5008769366431636,,,6.950956011491097,5.556172480366226,2.494203807145474
11,Green,,,,1.7312909694943335,1.3168942730211064,,,8.29632131540366,5.7571465885545585,2.6847522673129682
11,Red,,,,2.1821789023599236,2.182178902359923,,,14.527478069080647,9.683073105264912,2.8393493553813913
11,White,,,,3.69555717817258,3.404478842712374,,,32.100585961125674,22.920670645885185,4.87315288572185
12,Black,,,,0.718184846459608,0.5525062514530825,,,0.489360484929593,0.39403446282620624,1.0990426455975697
12,Blue,,,,1.3992479182911464,1.1459310165698648,,,7.221860089886448,6.730918448317046,2.4942038071454613
12,Green,,,,2.1974866025578046,2.2118104039808424,,,8.203176534925845,4.946822478276229,2.455391489848628
12,Red,,,,1.8322507626258082,2.323790007724457,,,13.760364059414233,9.683073105264922,3.4565328072533994
12,White,,,,4.1219505322694365,3.6377648815355403,,,32.69804129855342,21.81393176498953,3.98210281850467
13,Black,,,,0.6155870112510926,0.5871429486123999,,,0.6048053188292993,0.5525062514530825,0.9665456669582608
13,Blue,,,,1.4244112357114616,1.3803127029389892,,,7.108926930645947,5.659412281184421,3.2101811721295013
13,Green,,,,2.1373865005261865,1.8144159564878988,,,8.503250152611923,5.505021631010612,2.9912152080805927
13,Red,,,,2.256208365926384,2.022492568707285,,,14.253320415157404,9.238892945431443,2.1580414400893333
13,White,,,,4.078398378448758,3.889546429671641,,,32.43322811121777,22.752812489678657,3.680709041423816
14,Black,,,,0.6048053188292994,0.6155870112510927,,,0.5231483637805969,0.48936048492959305,1.118033988749895
14,Blue,,,,1.341640786499873,1.316894273021107,,,6.704279858497306,6.118135250823442,3.3946552417773264
14,Green,,,,1.9324105480761045,2.0641042405337666,,,7.843200206145714,5.714938872445562,2.1490511982341376
14,Red,,,,2.638542166027438,1.9820624179302333,,,13.061393493804559,9.635005621863089,2.6921402355039246
14,White,,,,3.6456105374101857,4.3116674489663795,,,30.75432606038655,21.675968699175108,4.996189023836535
15,Black,,,,0.7595545253127499,0.4746311465493235,,,0.5345224838248489,0.36313651960128157,0.7300459115473715
15,Blue,,,,1.6723346844167588,1.1821319289469756,,,6.974443142133793,5.351902198551198,2.1461734799546455
15,Green,,,,1.730463953541215,2.205138853368958,,,9.591663046625438,6.139406135149199,2.636389472469775
15,Red,,,,1.8171950369175576,2.0662116951635836,,,14.198591479439083,10.417476159022854,3.390462814312831
15,White,,,,3.8072612328599345,3.525417908358015,,,20.616860698344578,16.222525378939302,3.5451631581891636
