N1000_NH_4_Cl concentrate 1,000 mg/L rum time 15s/color  6 loops
482,Blue_4,75
483,Blue_5,76
484,Blue_6,74
485,Blue_7,73
486,Blue_8,77
487,Blue_9,76
488,Blue_10,71
489,Blue_11,72
490,Blue_12,74
491,Blue_13,71
492,Blue_14,72
493,Blue_15,71
494,Black_1,74
495,Black_2,5
496,Black_3,5
497,Black_4,4
498,Black_5,5
499,Black_6,6
500,Black_7,5
501,Black_8,5
502,Black_9,4
503,Black_10,5
504,Black_11,5
505,Black_12,4
506,Black_13,4
507,Black_14,5
508,Black_0,4
509,Black_0,5
510,Black_0,5
511,Black_0,5
512,Black_0,6
513,Black_0,5
514,Black_0,4
515,Black_0,5
516,Black_0,5
517,Black_0,6
518,Black_0,5
519,Black_0,5
520,Black_0,5
521,Black_0,5
522,Black_0,4
523,White_1,6
524,White_2,164
525,White_3,159
526,White_4,162
527,White_5,158
528,White_6,162
529,White_7,161
530,White_8,162
531,White_9,161
532,White_10,163
533,White_11,163
534,White_12,166
535,White_13,159
536,White_14,158
537,Red_1,162
538,Red_2,58
539,Red_3,59
540,Red_4,61
