Order,Color,P1000.csv,P1000_NRe.csv,P100_NRe.csv,P10_NRe.csv,P100.csv,P10.csv
7,Green,56.285714285714285,200.33333333333334,197.66666666666666,188.42857142857142,66.28571428571429,89.7
7,Red,59.285714285714285,344.3809523809524,339.57142857142856,321.8095238095238,73.0,106.61904761904762
7,White,134.1904761904762,835.952380952381,821.6666666666666,794.2380952380952,170.04761904761904,242.71428571428572
8,Black,4.05,5.2,5.95,5.15,3.9,4.6
8,Blue,27.45,338.0,332.65,325.75,36.6,55.9
8,Green,55.61904761904762,202.0952380952381,198.1904761904762,188.8095238095238,66.15,89.55
8,Red,59.19047619047619,343.8095238095238,341.6666666666667,320.6190476190476,73.42857142857143,106.85714285714286
8,White,134.8095238095238,835.5238095238095,821.7619047619048,794.5238095238095,168.71428571428572,241.47619047619048
9,Black,3.95,5.25,6.25,4.95,3.7,4.55
9,Blue,27.0,336.8,332.85,325.25,36.3,56.45
9,Green,56.904761904761905,200.76190476190476,197.7,189.95238095238096,66.35,89.55
9,Red,59.476190476190474,343.5238095238095,339.6666666666667,322.0,73.38095238095238,107.57142857142857
9,White,134.66666666666666,834.2857142857143,821.6190476190476,794.2380952380952,168.61904761904762,241.85714285714286
10,Black,3.9,5.2,6.1,5.05,3.9,4.5625
10,Blue,27.35,337.1,331.45,324.85,36.6,55.64705882352941
10,Green,56.285714285714285,201.9047619047619,198.6,188.9047619047619,66.3,89.6875
10,Red,59.523809523809526,343.0952380952381,339.7142857142857,321.95238095238096,74.14285714285714,105.375
10,White,134.8095238095238,835.1428571428571,821.0,794.8095238095239,168.66666666666666,241.4
11,Black,3.75,5.1,6.3,5.05,3.75,
11,Blue,26.8,338.2,333.3,325.95,36.85,
11,Green,55.714285714285715,201.0,196.45,189.52380952380952,66.75,
11,Red,59.19047619047619,344.42857142857144,340.1904761904762,323.04761904761904,74.19047619047619,
11,White,134.61904761904762,834.3333333333334,820.952380952381,793.8095238095239,168.42857142857142,
12,Black,3.85,5.15,6.05,4.95,3.95,
12,Blue,27.25,337.8,332.7,326.8,36.6,
12,Green,55.23809523809524,201.28571428571428,197.65,189.28571428571428,67.55,
12,Red,58.666666666666664,343.9047619047619,340.6190476190476,322.14285714285717,73.52380952380952,
12,White,135.0952380952381,835.2857142857143,821.5714285714286,794.952380952381,168.61904761904762,
13,Black,3.9,5.05,5.75,5.65,4.1,
13,Blue,26.55,337.4,331.9,325.75,36.15,
13,Green,56.476190476190474,201.33333333333334,198.0,189.42857142857142,66.9,
13,Red,58.333333333333336,343.5238095238095,340.42857142857144,321.23809523809524,73.42857142857143,
13,White,135.85714285714286,836.1904761904761,823.952380952381,794.1904761904761,168.0952380952381,
14,Black,3.9,5.1,5.75,5.25,3.85,
14,Blue,27.05,337.15,331.55,325.75,35.8,
14,Green,55.76190476190476,200.9047619047619,198.25,189.33333333333334,67.15,
14,Red,59.333333333333336,344.42857142857144,339.6190476190476,320.1904761904762,73.66666666666667,
14,White,135.14285714285714,836.7142857142857,821.8095238095239,792.8571428571429,168.95238095238096,
15,Black,3.9166666666666665,5.461538461538462,6.071428571428571,4.833333333333333,3.857142857142857,
15,Blue,26.785714285714285,336.84615384615387,331.3333333333333,325.0,35.214285714285715,
15,Green,56.07692307692308,201.41666666666666,197.78571428571428,189.5,67.0,
15,Red,59.833333333333336,344.85714285714283,339.06666666666666,319.6923076923077,73.66666666666667,
15,White,131.85714285714286,835.5,820.25,795.7692307692307,164.64285714285714,
Order,Color,P1000.csv,P1000_NRe.csv,P100_NRe.csv,P10_NRe.csv,P100.csv,P10.csv
1,Black,0.6407232755171873,0.6958523739384594,1.2096106376585989,0.8750939799154206,0.3940344628262064,0.7591546545162482
1,Blue,5.173190965149533,2.038907270363913,3.7570985445798657,3.2696293659184374,6.320184874044839,3.6974386582577625
1,Green,6.788996699842782,2.151411496801908,2.036570413125726,3.17205056105743,5.635770112584862,3.561120462350072
1,Red,9.135488101746011,2.8132340311971267,2.762848771346946,3.6942684049239136,9.603818684946802,4.466275746930435
