N1000_Empty_NH_4_Cl concentrate 1,000 mg/L rum time 30s/color 3 loops
466,Black_2,6
467,Black_3,7
468,Black_4,6
469,Black_5,6
470,Black_6,6
471,Black_7,8
472,Black_8,6
473,Black_9,5
474,Black_10,6
475,Black_11,7
476,Black_12,7
477,Black_13,6
478,Black_14,7
479,Black_15,7
480,Black_16,8
481,Black_17,5
482,Black_18,6
483,Black_19,6
484,Black_20,8
485,Black_21,6
486,Black_22,5
487,Black_23,6
488,Black_24,6
489,Black_25,7
490,Black_26,5
491,Black_27,6
492,Black_28,6
493,Black_29,7
494,Black_0,6
495,Black_0,6
496,Black_0,7
497,Black_0,7
498,Black_0,5
499,Black_0,7
500,Black_0,7
501,Black_0,7
502,Black_0,5
503,Black_0,5
504,Black_0,7
505,Black_0,6
506,Black_0,7
507,Black_0,6
508,Black_0,7
509,Black_0,8
510,Black_0,5
511,Black_0,8
512,Black_0,6
513,Black_0,7
514,Black_0,5
515,Black_0,6
516,Black_0,7
517,Black_0,5
518,Black_0,5
519,Black_0,8
520,Black_0,6
521,Black_0,5
522,Black_0,8
523,White_1,5
524,White_2,658
525,White_3,670
526,White_4,669
527,White_5,670
528,White_6,670
529,White_7,671
530,White_8,670
531,White_9,660
532,White_10,670
533,White_11,673
534,White_12,666
535,White_13,669
536,White_14,674
537,White_15,666
538,White_16,670
539,White_17,665
540,White_18,661
