Order,Color,P1000.csv,P1000_NRe.csv,P0.csv,P_soil.csv,P100_NRe.csv,P_emp.csv,P10_NRe.csv,P100.csv,P10.csv,P_urea.csv,P_water.csv
3,Green,6.9316389871096895,2.600366274566865,3.0550504633038904,0.5773502691896247,2.400396792595915,1.1547005383792495,2.700088181981506,5.29734884276132,3.105173950547365,1.7320508075688772,3.0550504633038904
3,Red,8.441394603804682,3.5301423146814837,2.5166114784235907,0.5773502691896247,3.209361307176253,2.309401076758499,3.370742464488316,9.40516575383671,4.42611298889625,5.507570547286106,2.5166114784235907
3,White,19.410355606271217,3.528118343766119,7.847504911329025,7.615773105863901,3.3000721492834457,2.449489742783178,2.9912571015576392,22.26731535981231,8.169921605965312,4.9328828623162355,7.847504911329025
4,Black,0.4442616583193193,0.6863327411532597,0.5773502691896257,0.5773502691896258,1.0894228312566052,0.5773502691896257,0.6708203932499369,0.4893604849295928,0.882579950158088,0.0,0.5773502691896257
4,Blue,4.684801855047088,2.2070461326349684,0.577350269189634,4.58257569495584,3.3576307436236066,2.0,3.053901732124603,6.276732304396344,3.4958622157600776,3.2145502536643265,0.577350269189634
4,Green,6.645442405280839,2.1657507221460643,3.0550504633038904,2.309401076758502,2.869378562220986,3.605551275463989,2.4289915602982246,4.928536921894391,2.0124611797498106,1.5275252316519499,3.0550504633038904
4,Red,8.52726718909909,4.28341208006176,2.0,1.5275252316519452,3.0876096471758387,2.6457513110645907,3.822863549001678,10.452841946662398,3.5543400700176835,4.041451884327373,2.0
4,White,20.123665291439952,3.470968027455597,3.8622100754188224,4.32049379893858,4.620348368642675,2.217355782608356,3.150963571444688,23.03578995927032,8.751598493445421,4.924428900898042,3.8622100754188224
5,Black,0.6569466853317862,0.7451598203705947,0.5773502691896258,1.1547005383792515,0.8870412083230169,0.5773502691896257,0.7591546545162482,0.41039134083406165,0.6386663736585049,1.0,0.5773502691896258
5,Blue,4.987088592714082,3.6404164018622045,2.309401076758499,1.5275252316519474,3.4070360633316006,2.6457513110645907,2.7236778540480096,6.492708460873224,3.8851945694012873,2.081665999466135,2.309401076758499
5,Green,6.674400276250967,3.433726283569528,4.163331998932262,1.0,3.192252526113224,4.0,2.8859264419890223,6.289446943662281,2.716421795012891,2.5166114784235796,4.163331998932262
5,Red,8.741526509385295,2.7316487259354583,2.0816659994661246,4.58257569495584,2.6195237662416417,3.4641016151377544,2.9984122782693197,9.952984716249944,4.8181205582971565,2.6457513110645907,2.0816659994661246
5,White,19.841874911408947,4.610546915187271,5.715476066494074,4.0,3.7934781125605768,5.795112883571239,3.3897604916094357,23.094320060300937,8.506580086139486,6.999999999999998,5.715476066494074
6,Black,0.5104177855340404,0.5712405705774793,0.5773502691896257,0.5773502691896257,0.9880869341680844,1.1547005383792517,0.7163503994113789,0.6155870112510924,0.6805570473787209,0.5773502691896258,0.5773502691896257
6,Blue,5.036707362219049,3.6778139960408107,2.5166114784235765,4.725815626252607,3.4561158606310145,3.605551275463989,2.6237779110122483,6.188911986686143,3.3603727863375368,1.1547005383792557,2.5166114784235765
