No.,Order,Color,Value
No.,Order,Color,Value
No.,Order,Color,Value
Phosphorus_concentrate 100 mg/L not Reagent,,,
277,13.0,White,821.0
278,14.0,White,821.0
279,15.0,White,831.0
280,1.0,Red,823.0
281,2.0,Red,342.0
282,3.0,Red,334.0
283,4.0,Red,345.0
284,5.0,Red,346.0
285,6.0,Red,340.0
286,7.0,Red,344.0
287,8.0,Red,336.0
288,9.0,Red,344.0
289,10.0,Red,339.0
290,11.0,Red,337.0
291,12.0,Red,338.0
292,13.0,Red,339.0
293,14.0,Red,341.0
294,1.0,Green,343.0
295,2.0,Green,195.0
296,3.0,Green,195.0
297,4.0,Green,198.0
298,5.0,Green,204.0
299,6.0,Green,198.0
300,7.0,Green,203.0
301,8.0,Green,197.0
302,9.0,Green,199.0
303,10.0,Green,198.0
304,11.0,Green,198.0
305,12.0,Green,192.0
306,13.0,Green,201.0
307,14.0,Green,198.0
308,15.0,Green,196.0
309,1.0,Blue,199.0
310,2.0,Blue,327.0
311,3.0,Blue,332.0
312,4.0,Blue,336.0
313,5.0,Blue,331.0
314,6.0,Blue,330.0
315,7.0,Blue,335.0
316,8.0,Blue,333.0
317,9.0,Blue,334.0
318,10.0,Blue,337.0
319,11.0,Blue,335.0
320,12.0,Blue,333.0
321,13.0,Blue,331.0
322,14.0,Blue,339.0
323,15.0,Blue,339.0
324,1.0,Black,332.0
325,2.0,Black,9.0
326,3.0,Black,8.0
327,4.0,Black,7.0
328,5.0,Black,8.0
329,6.0,Black,6.0
330,7.0,Black,8.0
331,8.0,Black,7.0
332,9.0,Black,7.0
333,10.0,Black,6.0
334,11.0,Black,5.0
335,12.0,Black,6.0
336,13.0,Black,7.0
337,14.0,Black,5.0
338,0.0,Black,5.0
339,0.0,Black,5.0
340,0.0,Black,7.0
341,0.0,Black,6.0
342,0.0,Black,4.0
343,0.0,Black,5.0
344,0.0,Black,6.0
345,0.0,Black,7.0
346,0.0,Black,7.0
347,0.0,Black,6.0
348,0.0,Black,8.0
349,0.0,Black,7.0
350,0.0,Black,6.0
351,0.0,Black,6.0
352,0.0,Black,5.0
353,1.0,White,5.0
354,2.0,White,827.0
355,3.0,White,825.0
356,4.0,White,816.0
357,5.0,White,825.0
358,6.0,White,826.0
359,7.0,White,817.0
360,8.0,White,823.0
361,9.0,White,825.0
362,10.0,White,829.0
363,11.0,White,820.0
364,12.0,White,815.0
365,13.0,White,820.0
366,14.0,White,826.0
367,15.0,White,824.0
368,1.0,Red,817.0
369,2.0,Red,339.0
370,3.0,Red,344.0
371,4.0,Red,344.0
372,5.0,Red,338.0
373,6.0,Red,343.0
374,7.0,Red,345.0
375,8.0,Red,338.0
376,9.0,Red,344.0
377,10.0,Red,338.0
378,11.0,Red,338.0
379,12.0,Red,340.0
380,13.0,Red,334.0
381,14.0,Red,344.0
382,1.0,Green,342.0
383,2.0,Green,196.0
384,3.0,Green,199.0
385,4.0,Green,196.0
386,5.0,Green,198.0
387,6.0,Green,198.0
388,7.0,Green,202.0
389,8.0,Green,197.0
390,9.0,Green,196.0
391,10.0,Green,198.0
392,11.0,Green,195.0
393,12.0,Green,197.0
394,13.0,Green,197.0
395,14.0,Green,194.0
396,15.0,Green,199.0
397,1.0,Blue,201.0
398,2.0,Blue,330.0
399,3.0,Blue,331.0
400,4.0,Blue,336.0
401,5.0,Blue,336.0
402,6.0,Blue,331.0
403,7.0,Blue,330.0
404,8.0,Blue,331.0
405,9.0,Blue,332.0
406,10.0,Blue,332.0
407,11.0,Blue,331.0
408,12.0,Blue,334.0
409,13.0,Blue,330.0
410,14.0,Blue,333.0
411,15.0,Blue,334.0
412,1.0,Black,330.0
413,2.0,Black,4.0
414,3.0,Black,6.0
415,4.0,Black,7.0
416,5.0,Black,8.0
417,6.0,Black,6.0
418,7.0,Black,5.0
419,8.0,Black,6.0
420,9.0,Black,6.0
421,10.0,Black,6.0
422,11.0,Black,5.0
423,12.0,Black,6.0
424,13.0,Black,6.0
425,14.0,Black,6.0
426,0.0,Black,5.0
427,0.0,Black,7.0
428,0.0,Black,7.0
429,0.0,Black,6.0
430,0.0,Black,5.0
431,0.0,Black,7.0
432,0.0,Black,5.0
433,0.0,Black,5.0
434,0.0,Black,6.0
435,0.0,Black,7.0
436,0.0,Black,7.0
437,0.0,Black,7.0
438,0.0,Black,8.0
439,0.0,Black,6.0
440,0.0,Black,5.0
441,1.0,White,6.0
442,2.0,White,826.0
443,3.0,White,821.0
444,4.0,White,819.0
445,5.0,White,818.0
446,6.0,White,822.0
447,7.0,White,821.0
448,8.0,White,817.0
449,9.0,White,823.0
450,10.0,White,827.0
