Order,Color,Soil_2.csv,Soil_3.csv,Soil_1.csv,Soil_0.csv,Empty_0.csv,Empty_1.csv,Urea_5.csv,Urea_4.csv,Urea_3.csv,Urea_2.csv,Urea_1.csv,Water_1.csv,Water_0.csv
4,Red,4.509249752822896,1.5275252316519452,4.802776974487432,2.503331114069141,0.0,2.6457513110645907,3.5355339059327378,1.4142135623730951,4.041451884327373,1.5275252316519545,3.2145502536643153,2.0,2.0816659994661384
4,White,15.459624833740307,4.32049379893858,5.21901286050295,6.187545093630764,2.8284271247461903,2.217355782608356,3.5355339059327378,0.7071067811865476,4.924428900898042,6.683312551921141,1.8257418583505538,3.8622100754188224,3.8622100754188224
5,Black,0.0,1.1547005383792515,0.8944271909999159,0.752772652709081,,0.5773502691896257,,,1.0,0.5773502691896257,0.5773502691896258,0.5773502691896258,0.5773502691896257
5,Blue,3.605551275463989,1.5275252316519474,3.2041639575194445,1.8618986725025217,0.7071067811865476,2.6457513110645907,4.949747468305833,2.1213203435596424,2.081665999466135,5.5677643628300215,2.081665999466135,2.309401076758499,5.196152422706632
5,Green,3.2145502536643202,1.0,2.994439290863427,1.264911064067353,0.7071067811865476,4.0,0.7071067811865476,0.7071067811865476,2.5166114784235796,6.244997998398398,1.7320508075688772,4.163331998932262,0.5773502691896278
5,Red,6.082762530298219,4.58257569495584,6.013872850889575,4.070217029430573,0.0,3.4641016151377544,4.949747468305833,5.656854249492381,2.6457513110645907,1.1547005383792557,2.5166114784235907,2.0816659994661246,2.081665999466135
5,White,14.66287829861518,4.0,8.029706749078112,7.565586245499758,6.363961030678928,5.795112883571239,2.8284271247461903,4.949747468305833,6.999999999999998,1.5,4.573474244670739,5.715476066494074,0.5000000000000094
6,Black,0.5773502691896257,0.5773502691896257,0.5163977794943221,0.408248290463863,,1.1547005383792517,,,0.5773502691896258,1.1547005383792517,1.5275252316519465,0.5773502691896257,1.0
6,Blue,2.309401076758502,4.725815626252607,2.338090388900018,2.6394443859772236,4.242640687119285,3.605551275463989,0.0,2.8284271247461903,1.1547005383792557,1.1547005383792557,0.577350269189634,2.5166114784235765,1.5275252316519452
6,Green,2.309401076758505,2.0,2.588435821108956,3.0166206257996695,3.5355339059327378,3.0,0.0,1.4142135623730951,0.5773502691896278,2.0,1.7320508075688772,4.358898943540674,1.0
6,Red,5.131601439446882,2.516611478423585,4.792355023020174,1.8618986725025248,2.8284271247461903,1.5275252316519545,3.5355339059327378,6.363961030678928,2.886751345948133,0.5773502691896216,1.7320508075688772,0.577350269189634,1.1547005383792557
6,White,18.209429791548473,2.629955639676575,8.906926143924919,3.9460649476951866,2.8284271247461903,5.802298395176405,2.1213203435596424,1.4142135623730951,3.872983346207417,1.0,5.965176722724439,4.031128874149269,5.196152422706625
7,Black,0.5773502691896258,0.0,0.5163977794943222,0.7527726527090811,,0.0,,,0.5773502691896257,0.5773502691896258,1.5275252316519468,0.5773502691896258,1.0
7,Blue,3.214550253664317,1.5275252316519499,1.760681686165901,1.834847859269717,0.7071067811865476,2.3094010767585114,0.7071067811865476,3.5355339059327378,2.0,2.886751345948133,3.0550504633038855,2.6457513110645907,4.041451884327373
7,Green,1.0,1.7320508075688772,1.3662601021279444,2.5298221281347035,0.7071067811865476,4.163331998932268,0.7071067811865476,2.8284271247461903,3.0550504633038926,1.7320508075688772,1.7320508075688772,2.6457513110645907,1.0
7,Red,4.0,5.5075705472861,3.9874804074753802,3.188521078284835,1.4142135623730951,3.4641016151377544,4.949747468305833,3.5355339059327378,2.0816659994661384,1.1547005383792432,1.0,2.886751345948133,2.0
7,White,17.134273644754643,6.137317546507315,8.571825387640045,4.231401884099625,4.949747468305833,0.9574271077563381,2.1213203435596424,5.656854249492381,4.546060565661967,2.6299556396765706,6.020797289396148,2.160246899469287,4.966554808583765
8,Black,0.5773502691896257,1.0,0.5477225575051662,0.408248290463863,,0.5773502691896257,,,1.0,0.0,1.1547005383792515,1.1547005383792515,0.5773502691896257
8,Blue,3.511884584284246,1.1547005383792495,3.060501048303472,3.7947331922020573,3.5355339059327378,4.358898943540674,2.1213203435596424,1.4142135623730951,2.0816659994661246,1.5275252316519405,1.5275252316519405,2.5166114784235765,3.0550504633038855
8,Green,4.509249752822896,1.5275252316519452,1.7606816861659003,2.562550812504343,0.7071067811865476,2.08166599946613,2.8284271247461903,0.0,3.4641016151377544,2.08166599946613,1.0,1.7320508075688772,0.0
8,Red,3.7859388972001833,2.6457513110645907,4.3817804600413295,3.728270376461448,0.7071067811865476,2.309401076758499,2.8284271247461903,2.8284271247461903,1.5275252316519405,2.5166114784235907,3.2145502536643265,3.5118845842842537,1.5275252316519452
8,White,14.056433876817163,5.737304826019507,8.9708522714506,5.968169536721253,5.656854249492381,4.573474244670748,1.4142135623730951,7.0710678118654755,5.852349955359813,5.887840577551914,4.349329450233296,2.8722813232690143,2.943920288775949
9,Black,0.5773502691896258,0.0,0.752772652709081,0.894427190999916,,0.5773502691896257,,,1.1547005383792517,1.0,0.5773502691896258,1.0,1.0
9,Blue,2.0,2.309401076758505,3.710345895825165,1.3291601358251264,1.4142135623730951,1.5275252316519452,0.7071067811865476,2.8284271247461903,1.1547005383792432,3.0550504633038855,2.8867513459481207,2.886751345948133,1.0
9,Green,3.7859388972001833,3.605551275463989,3.577708763999662,1.7606816861659003,0.7071067811865476,2.6457513110645907,2.8284271247461903,1.4142135623730951,2.0816659994661317,2.886751345948127,0.5773502691896278,2.886751345948127,1.1547005383792557
9,Red,4.5092497528228925,0.5773502691896247,4.7609522856952315,1.47196014438797,1.4142135623730951,1.0,2.1213203435596424,1.4142135623730951,2.309401076758499,2.5166114784235765,6.110100926607781,2.0,1.0
9,White,16.317168872080714,4.242640687119277,7.454624643228427,6.019808571549023,7.0710678118654755,4.654746681256314,4.242640687119285,2.8284271247461903,3.3040379335998336,2.886751345948129,5.251983752196256,4.123105625617649,2.217355782608339
10,Black,0.0,0.5773502691896258,0.752772652709081,0.5163977794943221,,0.5773502691896257,,,0.5773502691896257,0.5773502691896258,0.5773502691896257,0.0,0.5773502691896257
10,Blue,2.88675134594813,2.5166114784235867,4.87510683643617,3.656045222185671,4.242640687119285,1.0,2.8284271247461903,3.5355339059327378,5.686240703077333,4.0,3.5118845842842457,3.2145502536643153,4.041451884327376
10,Green,2.081665999466134,2.081665999466131,2.8751811537130436,1.7224014243685106,7.0710678118654755,1.7320508075688772,0.7071067811865476,2.8284271247461903,5.5677643628300215,2.0816659994661366,2.0,3.4641016151377544,1.5275252316519474
10,Red,6.658328118479392,4.58257569495584,3.8815804341359037,2.073644135332772,3.5355339059327378,1.5275252316519452,2.1213203435596424,1.4142135623730951,0.0,1.0,4.932882862316256,4.163331998932273,1.5275252316519452
10,White,16.820126832656968,5.560275772537426,7.515064236331606,4.644505202002517,1.4142135623730951,4.43471156521669,3.5355339059327378,6.363961030678928,4.96655480858378,1.290994448735791,6.500000000000012,6.130524719249855,0.816496580927726
11,Black,1.0,0.0,0.408248290463863,0.5163977794943222,,1.0,,,1.0,0.5773502691896257,0.0,1.5275252316519465,1.0
11,Blue,2.0,3.605551275463989,3.7771241264574082,2.639444385977221,0.7071067811865476,1.0,1.4142135623730951,2.8284271247461903,2.5166114784235822,0.5773502691896216,2.0816659994661384,1.5275252316519405,2.0816659994661246
11,Green,1.5275252316519452,4.041451884327382,1.4142135623730951,2.7325202042558923,1.4142135623730951,3.0550504633038904,0.7071067811865476,0.0,0.5773502691896278,1.5275252316519499,2.08166599946613,2.5166114784235796,1.5275252316519428
11,Red,6.244997998398398,1.1547005383792495,4.708148963941843,3.847076812334271,0.0,4.725815626252614,7.0710678118654755,6.363961030678928,1.0,2.0816659994661384,3.5118845842842537,2.6457513110645907,0.577350269189634
11,White,16.54287359157008,2.6299556396765835,8.360906763309936,4.309458036856669,1.4142135623730951,2.217355782608345,11.313708498984761,0.0,5.439056290693581,5.0990195135927845,4.966554808583765,2.8722813232690143,0.9574271077563381
12,Black,0.5773502691896257,0.5773502691896257,0.8366600265340756,0.8944271909999159,,1.0,,,1.5275252316519465,1.1547005383792515,0.0,0.5773502691896257,1.0
12,Blue,4.725815626252606,2.0816659994661366,3.829708431025356,1.4719601443879682,4.242640687119285,2.886751345948133,4.949747468305833,1.4142135623730951,4.58257569495584,1.7320508075688772,2.5166114784235765,3.055050463303895,2.5166114784235822
12,Green,3.0550504633038913,2.0,2.280350850198276,1.6431676725154978,2.1213203435596424,1.5275252316519499,0.7071067811865476,0.7071067811865476,4.358898943540674,3.5118845842842425,2.0816659994661317,1.1547005383792557,2.0816659994661317
12,Red,3.4641016151377544,1.1547005383792526,3.03315017762062,2.449489742783181,2.8284271247461903,4.509249752822887,4.242640687119285,3.5355339059327378,3.5118845842842457,2.5166114784235907,7.023769168568485,5.5677643628300215,3.605551275463989
12,White,17.231270024773753,7.164728420068234,5.287001130355559,5.1593650402978515,2.1213203435596424,2.6299556396765835,4.949747468305833,4.242640687119285,2.872281323269026,1.4142135623730885,4.991659710623994,4.112987559751007,4.082482904638619
13,Black,0.5773502691896258,0.5773502691896257,0.5477225575051661,0.6324555320336759,,1.1547005383792515,,,1.0,0.5773502691896257,1.1547005383792517,1.0,1.0
13,Blue,2.309401076758505,5.686240703077331,2.8809720581775844,1.0327955589886477,0.7071067811865476,1.1547005383792432,4.242640687119285,3.5355339059327378,2.6457513110645907,2.886751345948133,1.1547005383792557,0.0,3.2145502536643265
13,Green,2.88675134594813,1.1547005383792526,2.422120283277993,1.4719601443879744,0.7071067811865476,0.5773502691896216,0.7071067811865476,2.1213203435596424,1.1547005383792495,1.5275252316519499,3.0550504633038926,0.5773502691896278,3.2145502536643145
13,Red,7.0,2.88675134594813,3.0605010483034722,3.656045222185666,3.5355339059327378,2.309401076758499,4.949747468305833,5.656854249492381,1.5275252316519452,1.7320508075688772,2.081665999466135,1.1547005383792432,3.055050463303895
13,White,15.326991442115007,6.137317546507315,6.294366339755547,5.322906474223773,4.949747468305833,3.5118845842842625,2.1213203435596424,4.242640687119285,4.760952285695217,4.830458915396489,4.396968652757646,8.421203397773176,6.40312423743285
14,Black,0.0,0.5773502691896257,0.5477225575051661,0.752772652709081,,0.5773502691896258,,,1.1547005383792515,0.5773502691896258,0.0,1.0,0.5773502691896258
14,Blue,1.0,5.131601439446887,2.8047578623950167,1.6020819787597234,3.5355339059327378,2.0,2.8284271247461903,1.4142135623730951,3.214550253664313,5.131601439446892,1.0,0.5773502691896216,2.5166114784235822
14,Green,1.7320508075688772,2.886751345948127,2.1369760566432805,3.188521078284832,2.1213203435596424,4.04145188432738,4.949747468305833,0.7071067811865476,2.6457513110645907,1.1547005383792557,2.0,1.0,4.509249752822898
14,Red,4.618802153517007,4.0,5.980523945831724,2.529822128134707,1.4142135623730951,5.507570547286106,1.4142135623730951,0.7071067811865476,1.1547005383792557,2.6457513110645907,0.5773502691896216,5.291502622129181,4.041451884327373
14,White,14.094916341243982,6.78232998312526,7.831560082980487,3.302235894778243,1.4142135623730951,1.4142135623731085,4.949747468305833,6.363961030678928,1.4142135623731018,3.3665016461207067,7.593857166596335,6.55108133567786,4.031128874149275
15,Black,1.0,0.5773502691896257,,,,0.5773502691896257,,,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896258,1.0
15,Blue,1.5275252316519463,3.605551275463989,2.7325202042558927,2.2583179581272406,1.4142135623730951,1.5275252316519452,0.7071067811865476,0.7071067811865476,3.605551275463989,3.605551275463989,2.0816659994661384,2.5166114784235765,2.5166114784235822
15,Green,2.081665999466131,0.5773502691896247,,,2.1213203435596424,3.2145502536643145,1.4142135623730951,0.7071067811865476,0.0,0.5773502691896278,3.21455025366432,3.605551275463989,2.08166599946613
15,Red,3.5118845842842448,0.5773502691896247,4.226897995772629,4.36653943835009,4.949747468305833,3.605551275463989,3.5355339059327378,1.4142135623730951,2.6457513110645907,1.7320508075688772,5.686240703077333,3.7859388972001744,4.509249752822893
15,White,17.442763542512402,5.852349955359816,,,2.1213203435596424,5.196152422706625,5.656854249492381,7.7781745930520225,1.914854215512681,5.909032633745278,3.5590260840104317,3.559026084010437,3.7749172176353762
16,Black,0.5773502691896257,0.0,,,,1.1547005383792515,,,1.0,1.1547005383792517,0.5773502691896258,0.5773502691896257,0.5773502691896258
16,Blue,4.5092497528228925,2.886751345948133,,,0.7071067811865476,2.0816659994661246,2.1213203435596424,,2.5166114784235822,1.0,1.1547005383792557,3.605551275463989,3.2145502536643265
16,Green,1.5275252316519463,2.309401076758502,,,0.7071067811865476,3.785938897200181,1.4142135623730951,2.1213203435596424,1.0,3.4641016151377544,2.0,1.1547005383792557,1.7320508075688772
16,Red,5.6862407030773285,4.932882862316246,,,2.1213203435596424,1.7320508075688772,2.1213203435596424,4.242640687119285,3.214550253664313,2.0,0.5773502691896216,5.686240703077329,1.1547005383792432
16,White,16.673332000533065,6.499999999999993,,,0.7071067811865476,4.112987559751034,2.8284271247461903,4.242640687119285,3.785938897200199,4.0,5.686240703077323,2.0816659994661215,3.4641016151377544
17,Black,0.5773502691896258,0.5773502691896257,,,,0.0,,,0.5773502691896257,1.0,1.0,1.0,0.5773502691896258
17,Blue,4.72581562625261,2.0816659994661366,,,2.1213203435596424,1.7320508075688772,3.5355339059327378,,1.5275252316519452,1.1547005383792432,2.5166114784235765,0.5773502691896216,2.6457513110645907
17,Green,1.1547005383792526,2.516611478423582,,,0.7071067811865476,2.6457513110645907,0.7071067811865476,0.0,3.5118845842842497,2.0,1.7320508075688772,1.0,2.5166114784235867
17,Red,6.082762530298219,4.618802153517007,,,1.4142135623730951,3.2145502536643153,4.242640687119285,0.7071067811865476,3.605551275463989,2.081665999466135,3.2145502536643153,5.686240703077333,1.7320508075688772
17,White,17.31088289679838,6.000000000000008,,,10.606601717798213,4.96655480858378,9.192388155425117,4.949747468305833,0.577350269189634,6.806859285554057,2.0816659994661486,5.507570547286092,2.0
18,Black,1.1547005383792517,0.5773502691896257,,,,0.0,,,0.5773502691896257,1.5275252316519465,0.5773502691896257,0.5773502691896257,1.0
18,Blue,1.0,3.2145502536643145,,,,2.0,2.1213203435596424,,2.0,2.886751345948133,3.605551275463989,2.6457513110645907,0.5773502691896216
18,Green,0.5773502691896278,1.0,,,0.0,0.5773502691896278,3.5355339059327378,4.242640687119285,1.0,3.0550504633038926,2.08166599946613,3.5118845842842425,1.5275252316519474
18,Red,5.131601439446886,3.5118845842842483,,,0.0,1.5275252316519545,2.8284271247461903,2.8284271247461903,0.5773502691896216,3.2145502536643153,3.2145502536643153,2.8867513459481207,1.0
18,White,16.3579746097533,6.082762530298219,,,2.1213203435596424,4.0,7.0710678118654755,2.8284271247461903,2.081665999466128,2.6457513110645907,0.5773502691896093,1.5275252316519499,6.027713773341723
19,Black,0.0,0.0,,,,0.0,,,1.5275252316519468,1.0,1.0,1.1547005383792517,0.5773502691896257
19,Blue,5.033222956847168,0.5773502691896278,,,,2.0816659994661246,,,2.6457513110645907,3.0,3.5118845842842394,2.0,2.5166114784235822
19,Green,2.6457513110645907,5.0332229568471645,,,3.5355339059327378,3.605551275463989,2.1213203435596424,1.4142135623730951,2.5166114784235796,2.886751345948127,2.6457513110645907,2.6457513110645907,3.0550504633038904
19,Red,7.0,1.5275252316519485,,,2.1213203435596424,0.5773502691896216,2.8284271247461903,0.7071067811865476,2.5166114784235907,1.5275252316519405,2.886751345948133,3.7859388972001855,2.081665999466135
19,White,12.22020185321558,6.658328118479401,,,1.4142135623730951,2.6457513110645907,2.1213203435596424,1.4142135623730951,5.507570547286118,1.527525231651959,4.0414518843273886,1.527525231651959,2.3094010767584865
20,Black,0.0,1.0,,,,1.5275252316519465,,,0.5773502691896257,0.5773502691896257,0.5773502691896258,0.5773502691896258,0.0
20,Blue,4.618802153517004,1.1547005383792495,,,,0.5773502691896216,,,3.7859388972001855,1.0,2.0816659994661384,2.5166114784235822,3.7859388972001744
20,Green,1.0,2.516611478423582,,,1.4142135623730951,1.1547005383792495,5.656854249492381,4.242640687119285,0.5773502691896216,2.0816659994661317,2.5166114784235867,2.5166114784235796,1.0
20,Red,2.0816659994661335,2.081665999466131,,,4.242640687119285,1.7320508075688772,3.5355339059327378,5.656854249492381,1.1547005383792557,1.1547005383792557,4.0,3.2145502536643153,3.7859388972001873
20,White,14.0,8.386497083606091,,,4.949747468305833,4.041451884327378,5.656854249492381,3.5355339059327378,3.055050463303881,0.577350269189634,2.0816659994661486,2.0816659994661215,1.0
21,Black,0.5773502691896258,0.5773502691896257,,,,1.1547005383792515,,,1.0,0.0,1.0,1.7320508075688772,1.1547005383792515
21,Blue,3.5118845842842448,1.7320508075688772,,,,1.5275252316519452,,,1.1547005383792557,1.5275252316519452,3.0,3.5118845842842537,0.5773502691896216
21,Green,2.081665999466134,0.5773502691896247,,,0.0,3.605551275463989,0.7071067811865476,0.0,1.7320508075688772,1.5275252316519499,2.886751345948133,3.5118845842842465,1.1547005383792495
21,Red,6.350852961085884,4.618802153517004,,,0.7071067811865476,2.081665999466135,2.1213203435596424,2.1213203435596424,1.7320508075688772,2.0,2.0816659994661384,3.5118845842842537,1.0
21,White,13.650396819628842,4.041451884327373,,,1.4142135623730951,1.154700538379268,3.5355339059327378,4.949747468305833,4.163331998932277,7.637626158259721,3.0550504633038904,4.509249752822895,0.577350269189634
22,Black,1.0,0.0,,,,1.0,,,0.5773502691896257,0.5773502691896257,0.0,1.1547005383792517,0.5773502691896257
22,Blue,4.725815626252606,4.58257569495584,,,,4.358898943540674,,,1.7320508075688772,4.509249752822901,2.6457513110645907,1.5275252316519452,1.7320508075688772
22,Green,1.0,4.725815626252606,,,1.4142135623730951,2.6457513110645907,4.242640687119285,2.8284271247461903,1.1547005383792495,1.7320508075688772,3.0550504633038926,2.0,2.0816659994661317
22,Red,2.516611478423585,2.0,,,1.4142135623730951,5.131601439446892,2.8284271247461903,5.656854249492381,1.5275252316519545,2.0,0.5773502691896216,5.686240703077319,2.081665999466135
22,White,11.372481406154648,5.507570547286095,,,4.242640687119285,1.5275252316519312,7.0710678118654755,0.7071067811865476,2.0,0.577350269189634,3.5118845842842314,4.358898943540674,3.0
23,Black,0.0,1.0,,,,0.5773502691896257,,,0.5773502691896258,1.0,0.5773502691896257,1.0,1.0
23,Blue,2.886751345948127,4.58257569495584,,,,5.5677643628300215,,,2.5166114784235822,2.0816659994661384,3.605551275463989,1.0,0.5773502691896216
23,Green,1.1547005383792495,1.7320508075688772,,,0.7071067811865476,2.0816659994661366,1.4142135623730951,0.0,2.6457513110645907,2.08166599946613,2.6457513110645907,2.08166599946613,2.886751345948127
23,Red,4.358898943540674,4.618802153517004,,,0.0,1.1547005383792557,2.8284271247461903,2.8284271247461903,1.5275252316519545,1.7320508075688772,2.5166114784235907,2.5166114784235907,1.5275252316519405
