Order,Color,P10_O7.csv,P10_O6.csv,P10_O4.csv,P10_n.csv,P10_O5.csv,P10_O1.csv,P10_O2.csv,P10_O3.csv,P10_No_Reag.csv
4,White,8.751598493445421,17.768350675126992,17.017358084922474,22.133469592236874,8.594294896145051,9.07377172587747,72.81777647956967,7.749039879083011,3.150963571444688
5,Black,0.6386663736585049,0.3940344628262062,0.6155870112510924,0.6569466853317862,0.48936048492959305,0.7071067811865476,0.6048053188292994,0.489360484929593,0.7591546545162482
5,Blue,3.8851945694012873,6.509911471627014,4.877445405559197,9.25145792209047,2.8372521918222215,4.949747468305833,11.313243287590454,1.4608937423083834,2.7236778540480096
5,Green,2.716421795012891,4.862314805024239,5.276312508202153,4.582575694955842,2.954033816575853,1.4142135623730951,12.28435033519862,2.5230516193063144,2.8859264419890223
5,Red,4.8181205582971565,7.251929135786984,7.669047249449296,9.101281960984009,4.279519332154701,4.041451884327381,24.98841836994848,3.153984630212875,2.9984122782693197
5,White,8.506580086139486,17.774915444176386,17.21599477783602,21.83346055942576,7.715476098632633,8.54400374531753,70.23067434567051,7.78184700807866,3.3897604916094357
6,Black,0.6805570473787209,0.5104177855340405,0.7163503994113789,0.6569466853317866,0.6407232755171873,1.4142135623730951,0.6048053188292994,0.5231483637805969,0.7163503994113789
6,Blue,3.3603727863375368,6.500202425997778,5.081183036718083,8.777962837637634,2.473012226755902,2.8284271247461903,10.629031742801113,2.235479461111784,2.6237779110122483
6,Green,2.416500296753651,3.619755734707437,3.3544942359389105,4.753945729601886,3.1220775808830576,0.7071067811865476,11.582654908821295,2.870448342020902,2.4152294576982403
6,Red,4.214487485081043,7.520764905373969,7.22231990165935,9.029581016488722,4.713203338949603,3.0,24.389600890111907,3.664501525251616,3.902990306589719
6,White,8.767092149732699,17.095251359591597,16.390473423535397,22.687735306401457,8.152417111624302,9.16515138991168,67.27505728970682,7.460690635718972,4.621378891320514
7,Black,0.8255779474818968,0.5619514869490163,0.5619514869490166,0.6863327411532598,0.6958523739384593,1.4142135623730951,0.5982430416161189,0.48936048492959294,0.6155870112510925
7,Blue,3.881128430590366,6.568665649966705,4.997631017739672,9.5282129544455,2.613728935327537,3.5355339059327378,10.72858944964096,1.57195821559574,2.924938145994671
7,Green,3.1472628040719437,3.5688712648767758,5.008151250448456,3.732100136460912,2.250146194080919,0.7071067811865476,12.748064868627596,2.3530495331087202,2.5994504913813676
7,Red,4.455066671512235,6.681887386631038,7.247988226627681,8.236099400403894,4.1667619036734855,3.0,24.194170676773403,3.499659847416473,2.9260732666672524
7,White,7.086203900134797,17.223046575252972,16.761065996330135,21.983868544696058,7.754261501172859,6.027713773341712,67.40336998781504,6.444266554742398,4.581536444302951
8,Black,0.6805570473787209,0.718184846459608,0.5026246899500346,0.6863327411532597,0.5525062514530825,0.7071067811865476,0.4701623459816271,0.4701623459816272,0.8750939799154206
8,Blue,3.2589956476772066,6.611592689718336,5.016813834759229,8.138763645923786,2.8910023757932306,4.949747468305833,11.295085097883105,1.6254554017744978,2.403396719119354
8,Green,2.8557421378504637,3.310271097182536,3.9772378672429904,4.821578480914632,2.754899940870907,1.4142135623730951,11.415017808963219,2.7318780892889145,2.803908836232875
8,Red,4.316082880178678,8.101146303367917,7.52741022941521,8.475173828811517,5.131601439446887,4.949747468305833,23.40821942912586,3.7720778661861423,2.635833653252615
8,White,7.453985830540938,16.35033129124092,16.09229333444752,21.758523234202585,8.476859256655295,8.621678104251712,64.70751042005794,6.885803200374355,3.3259441910387886
9,Black,0.6863327411532597,0.6488856845230504,0.6048053188292994,0.6569466853317862,0.670820393249937,0.7071067811865476,0.45883146774112354,0.5871429486123999,1.050062654772261
9,Blue,3.2682684937698188,6.417697570411294,5.058603926402079,8.120636480110727,2.948683916954348,1.4142135623730951,10.52115663043305,2.089447169392952,4.03765174067148
9,Green,2.258900524358557,4.418561328139097,5.246552752948712,4.828486896977742,2.5396850198400567,3.5355339059327378,11.21136641280202,3.034451307377021,2.635833653252618
9,Red,3.722518348798682,7.534307497951233,7.57282107590157,7.801098823700603,4.2110964526276655,1.4142135623730951,23.26936092579117,3.3108767361387463,3.492849839314615
9,White,8.174874398336115,17.23216814703301,16.306148416792862,21.081587543003803,7.850386705670709,6.806859285554048,64.13182108899198,7.372083765640409,4.426112988896261
10,Black,0.629152869605896,0.6966305460192359,0.3940344628262061,0.6069769786668839,0.7326950970650463,,0.34156502553198664,0.5285941398709245,0.8255779474818965
10,Blue,3.690209622612723,7.136793644866847,4.636295729916078,8.638347795242957,2.319989857990005,3.5355339059327378,11.078596216021552,2.3237900077244515,3.013565819319092
10,Green,3.156342820417332,3.7661417298625084,5.759050847723662,4.675162334843875,3.3665016461207005,2.1213203435596424,11.041366070640098,2.8128433856309707,2.256208365926379
10,Red,3.4616951531487157,7.330937665730321,8.73253358751873,9.058014078572569,4.180039147272097,,23.646428795301027,3.3904628143128326,3.1060616619151413
10,White,6.668070027731927,14.329884445985408,12.053800962644885,21.504595300717014,7.951166746558592,7.211102550927978,32.4037034920393,6.4012745441414785,3.868062145558784
11,Black,,,,0.6958523739384594,,,,,0.6863327411532597
11,Blue,,,,9.124288003945699,,,,,2.211810403980842
11,Green,,,,5.211708430246715,,,,,2.8039088362328672
11,Red,,,,8.808545634239312,,,,,2.8191521859628517
11,White,,,,22.030606415793905,,,,,4.915476046315854
12,Black,,,,0.6048053188292994,,,,,0.8870412083230169
12,Blue,,,,7.834471735121719,,,,,4.652107615173782
