Order,Color,N2_NoR,N10_NoR,N20_W,N2_W,N60_W,N8_NoR,N4_W,N60_NoR,N40_W,N80_W,N6_W,N10_W,N8_W,N20_NoR,N4_NoR,N80_NoR,N40_NoR,N6_NoR,N100_NoR,N100_W
4,Black,0.4999999999999999,0.5773502691896257,0.5773502691896257,0.4999999999999999,0.0,0.5773502691896257,0.5,0.0,0.5773502691896258,0.4999999999999999,0.9574271077563382,0.4999999999999999,0.0,0.5,0.4999999999999999,0.5773502691896257,0.957427107756338,0.5773502691896258,0.5,0.4999999999999999
4,Blue,2.886751345948129,5.802298395176403,1.707825127659933,2.0615528128088294,4.358898943540671,2.0615528128088303,2.217355782608345,0.9999999999999952,3.2015621187164323,0.5773502691896257,0.9574271077563404,2.7537852736430497,2.2173557826083528,1.5,2.5166114784235774,5.446711546122731,2.6457513110645907,1.707825127659933,2.6457513110645907,2.8284271247461867
4,Green,3.7859388972001855,4.163331998932272,11.086778913041732,2.0615528128088294,7.25718035235908,5.446711546122731,2.0816659994661397,2.645751311064583,18.7794213613377,2.7537852736430537,2.6299556396765835,6.055300708194983,1.7078251276599288,3.109126351029608,6.855654600401047,3.696845502136472,18.23915202707261,3.109126351029608,4.99165971062398,6.551081335677856
4,Red,1.8929694486000972,2.6457513110645907,1.7078251276599343,1.5,2.8722813232690143,0.816496580927726,4.69041575982343,1.4142135623730985,3.5939764421413085,2.1602468994692936,2.0615528128088294,2.8284271247461903,1.2583057392117971,2.8284271247461934,2.3804761428476167,2.7537852736430484,5.909032633745278,3.304037933599835,4.924428900898058,2.7537852736430586
4,White,6.403124237432838,12.192894105447907,2.708012801545327,4.43471156521668,7.549834435270748,4.112987559751022,5.315072906367335,2.3804761428476167,12.151817422372122,3.3166247903554,3.774917217635375,5.259911279353167,3.4034296427770325,2.8284271247461965,5.03322295684717,4.082482904638646,24.26245384677046,3.559026084010437,7.228416147400491,4.76095228569523
5,Black,0.0,0.5,0.5773502691896257,0.0,0.0,0.5,0.5,0.5773502691896257,0.5,0.957427107756338,0.5,0.5773502691896257,0.5,0.0,0.0,0.5773502691896257,0.5773502691896257,0.5,0.0,0.4999999999999999
5,Blue,4.499999999999997,5.852349955359813,2.449489742783178,3.366501646120686,3.403429642777024,1.707825127659926,1.2583057392117971,1.7078251276599288,1.914854215512676,4.349329450233296,1.1547005383792517,2.500000000000002,3.6514837167011,3.2015621187164247,1.8929694486000972,2.8722813232690165,3.4641016151377544,4.573474244670749,2.217355782608347,2.75378527364305
5,Green,5.852349955359805,3.8622100754188224,4.112987559751029,3.304037933599835,8.995369179009087,3.1091263510296048,3.403429642777025,6.652067347825035,12.893796958227618,5.25198375219625,4.242640687119287,5.67890834580027,2.516611478423589,8.539125638299666,1.2583057392117898,3.559026084010444,17.748239349298853,2.081665999466128,1.4999999999999922,3.559026084010437
5,Red,3.872983346207417,2.9860788111948198,1.707825127659933,4.546060565661955,1.4142135623730951,1.8929694486000972,3.559026084010437,2.44948974278318,4.349329450233292,3.559026084010444,3.559026084010437,1.7078251276599288,2.3804761428476167,2.75378527364305,0.816496580927726,3.304037933599835,3.872983346207417,2.6457513110645907,0.957427107756338,3.4034296427770303
5,White,2.217355782608339,14.445299120013631,2.3804761428476167,2.309401076758503,6.898067362191631,2.0816659994661326,3.109126351029599,3.651483716701113,14.888474289418197,2.9439202887759586,5.066228051190222,7.745966692414834,4.358898943540659,3.785938897200195,6.976149845485455,2.9860788111948198,19.155068954891973,2.21735578260833,1.914854215512681,2.5
6,Black,0.816496580927726,0.0,0.0,0.957427107756338,0.4999999999999999,0.4999999999999999,0.5773502691896257,0.0,0.5,0.4999999999999999,0.4999999999999999,0.0,0.957427107756338,0.5773502691896257,0.5773502691896257,0.9574271077563382,0.4999999999999999,0.5,0.4999999999999999,0.4999999999999999
6,Blue,4.349329450233303,4.5,2.2173557826083434,3.000000000000008,1.5000000000000009,0.957427107756338,2.217355782608345,4.272001872658765,2.217355782608346,2.380476142847617,2.0615528128088245,3.5,2.8722813232690085,3.559026084010437,4.082482904638634,2.500000000000004,5.188127472091127,1.4999999999999984,3.304037933599835,3.201562118716424
6,Green,1.914854215512676,5.446711546122735,11.387127235025815,1.892969448600095,5.066228051190215,3.403429642777025,2.160246899469287,3.304037933599836,15.819292019556377,2.3629078131263013,3.304037933599835,10.53169818531972,1.1547005383792517,2.8722813232690143,2.160246899469291,3.3166247903553967,14.47987108598231,2.21735578260834,1.825741858350556,1.4999999999999922
6,Red,2.081665999466128,3.829708431025352,0.9574271077563404,2.217355782608345,4.203173404306164,1.8257418583505536,2.160246899469287,2.5166114784235774,2.9860788111948198,2.943920288775949,3.593976442141304,0.957427107756338,2.8722813232690143,2.9860788111948198,3.6968455021364672,3.2015621187164243,4.2720018726587625,3.774917217635375,2.5819888974716148,2.061552812808836
6,White,3.862210075418836,11.528949070347508,6.271629240742258,2.8722813232690143,5.916079783099618,3.415650255319852,2.9999999999999845,1.892969448600084,9.848857801796116,2.708012801545327,2.217355782608345,2.217355782608356,3.774917217635376,2.160246899469287,4.163331998932252,3.0956959368344563,18.814887722226768,4.203173404306151,2.828427124746177,2.6299556396765835
7,Black,0.0,0.5773502691896257,0.5,0.5,0.4999999999999999,1.0,0.4999999999999999,0.5773502691896258,0.5,0.816496580927726,0.0,0.0,0.4999999999999999,0.5,0.5773502691896258,0.5773502691896258,0.5773502691896257,0.5773502691896257,0.4999999999999999,0.5773502691896257
7,Blue,2.986078811194816,6.130524719249837,3.415650255319867,1.7320508075688772,2.5166114784235805,2.081665999466126,1.8929694486000876,3.2015621187164243,2.943920288775949,1.2909944487358074,3.559026084010444,3.000000000000001,1.2909944487358056,3.593976442141304,4.242640687119293,2.160246899469288,3.7749172176353705,2.2173557826083528,2.9860788111948198,3.7859388972001855
7,Green,3.862210075418827,5.830951894845306,10.21028892833107,4.573474244670751,7.023769168568493,2.21735578260834,3.511884584284238,1.4142135623730985,14.07124727947028,3.162277660168381,1.914854215512676,6.557438524302003,4.242640687119285,3.774917217635375,3.000000000000008,3.304037933599835,16.918924315688635,2.645751311064587,2.3804761428476167,4.856267428111162
