Order,Color,N2_NoR,N10_NoR,N20_W,N2_W,N60_W,N8_NoR,N4_W,N60_NoR,N40_W,N80_W,N6_W,N10_W,N8_W,N20_NoR,N4_NoR,N80_NoR,N40_NoR,N6_NoR,N100_NoR,N100_W
5,Green,428.25,380.25,349.25,428.75,333.75,411.5,415.75,443.75,369.75,352.25,414.0,293.25,418.5,350.75,397.75,333.0,375.5,384.5,351.75,434.0
5,Red,330.5,314.75,322.75,334.0,309.0,338.25,332.0,360.0,331.25,299.0,339.0,308.25,337.5,320.75,329.0,303.75,327.5,335.5,315.75,342.75
5,White,942.25,887.0,842.5,944.0,816.75,938.5,941.5,954.0,908.5,826.0,946.5,766.0,944.5,850.5,928.0,811.25,895.75,927.25,853.5,948.75
6,Black,5.0,3.0,4.0,5.25,4.25,3.25,4.5,4.0,4.25,4.25,3.75,3.0,3.75,4.5,4.5,4.75,4.25,3.75,3.75,4.25
6,Blue,263.25,240.75,230.25,269.5,216.75,263.75,285.75,282.75,271.75,222.5,299.75,192.75,270.25,226.0,272.0,225.75,261.25,274.25,237.25,285.25
6,Green,428.5,378.5,347.5,427.75,335.5,415.75,415.0,444.25,368.75,353.75,414.25,294.25,419.0,350.25,399.0,336.5,375.5,387.25,354.0,435.75
6,Red,327.5,314.0,322.25,333.75,309.5,337.0,334.0,357.5,331.25,303.0,339.75,308.25,340.75,321.25,325.5,301.25,322.75,337.75,317.0,344.75
6,White,941.75,891.75,844.0,943.75,815.5,938.5,943.5,954.25,908.5,826.0,949.25,763.75,943.25,846.0,929.0,812.25,899.0,928.5,853.0,951.75
7,Black,5.0,3.5,4.25,5.75,4.25,3.5,4.25,4.5,4.25,5.0,4.0,3.0,3.75,4.25,4.5,4.5,4.5,3.5,4.25,4.5
7,Blue,262.75,239.75,226.5,270.5,218.5,262.5,284.25,285.75,271.0,223.5,298.0,193.5,270.5,228.75,273.0,225.0,262.25,272.75,235.25,282.5
7,Green,431.25,380.0,346.25,426.25,334.0,412.75,412.5,446.0,368.0,354.0,412.5,293.5,416.0,351.75,395.5,335.25,371.75,387.5,355.5,430.75
7,Red,328.75,313.75,318.75,330.5,309.0,336.5,335.5,362.5,332.0,300.75,339.25,309.25,339.25,322.0,327.0,302.5,318.5,336.25,315.25,339.0
7,White,940.0,889.5,842.75,943.5,815.5,939.25,943.0,952.25,910.75,825.5,947.0,760.5,941.0,850.0,929.25,817.5,899.0,931.75,854.25,952.25
8,Black,5.25,3.5,4.25,5.0,4.5,3.5,4.25,4.5,4.25,4.75,4.25,3.5,4.0,4.25,4.25,5.0,4.5,4.0,4.25,3.75
8,Blue,263.0,241.0,229.75,269.25,216.25,263.75,284.25,283.5,268.75,221.75,299.5,193.75,271.0,228.5,272.0,225.0,263.75,272.75,235.25,283.25
8,Green,426.5,384.0,350.5,427.0,336.5,410.0,413.75,446.5,367.5,352.5,416.0,293.25,421.5,350.5,396.75,335.25,374.25,381.5,355.75,435.75
8,Red,330.5,315.5,321.25,333.25,310.75,340.5,332.0,360.5,327.0,302.0,338.0,308.0,340.5,324.5,327.0,300.5,324.25,336.0,315.5,343.0
8,White,940.0,889.75,842.75,942.75,817.0,938.0,946.5,953.25,910.25,830.25,949.5,760.0,941.75,851.5,932.25,814.25,896.5,932.0,851.0,949.0
9,Black,5.0,3.0,4.0,5.0,4.0,3.5,4.25,4.25,4.25,5.25,4.0,3.25,3.5,4.0,4.25,4.75,4.5,3.75,4.0,4.25
9,Blue,266.0,240.0,227.0,266.0,219.25,263.5,284.5,286.5,270.25,222.0,299.75,194.0,270.5,229.25,273.75,225.5,262.75,275.75,236.25,284.5
9,Green,431.25,380.75,351.5,427.75,336.5,412.25,413.75,444.75,366.5,352.75,413.0,299.0,419.75,354.75,397.75,333.5,373.5,384.75,352.5,434.5
9,Red,327.0,313.75,321.75,334.75,308.75,337.5,332.25,359.5,331.25,301.75,338.5,306.75,337.0,322.0,326.75,301.0,322.25,339.0,314.75,340.75
9,White,941.75,889.75,847.75,942.75,818.25,938.5,946.0,952.0,908.75,824.25,948.5,760.5,940.0,852.25,929.0,815.5,898.25,931.75,852.25,945.0
10,Black,4.75,3.25,4.5,5.0,4.25,3.25,4.0,4.5,4.25,4.75,4.0,3.25,3.5,4.0,4.5,4.25,4.5,4.0,4.0,4.0
10,Blue,266.0,243.5,227.0,269.5,217.75,263.5,285.75,288.25,270.75,220.5,298.0,191.25,270.5,227.25,272.25,223.5,263.5,275.5,236.0,284.0
10,Green,430.0,383.25,348.25,430.75,336.75,413.5,411.75,445.75,369.0,353.5,411.25,294.0,417.5,352.75,399.75,332.0,373.5,385.25,353.0,436.5
10,Red,328.25,315.75,320.25,334.25,310.5,336.0,332.5,358.0,331.0,301.75,335.5,310.25,337.75,323.75,328.75,301.0,322.0,338.0,316.5,341.5
10,White,942.5,889.0,844.0,943.75,819.5,940.25,945.0,952.25,910.75,826.75,948.5,764.25,940.75,851.0,930.0,816.0,900.5,925.75,851.0,949.0
11,Black,5.25,3.25,4.5,5.0,4.0,3.25,4.5,4.25,4.25,4.5,4.0,3.5,3.75,4.0,4.0,4.5,4.25,4.0,4.25,4.0
11,Blue,265.75,241.25,227.25,270.25,217.5,264.5,284.25,285.75,267.5,222.5,300.25,193.25,269.0,228.0,271.5,224.25,261.25,273.0,235.75,285.25
11,Green,431.0,382.25,343.0,423.75,335.5,412.0,415.75,447.5,367.75,350.75,414.25,294.25,421.0,351.5,395.25,333.75,377.0,384.0,355.75,435.5
11,Red,327.25,315.0,318.25,332.5,308.25,337.75,333.25,361.0,329.0,299.0,338.0,309.75,339.0,322.5,326.5,303.25,324.25,334.25,317.75,342.0
