Order,Color,P4_R,P60_R,P80_W,P40_W,P40_A,P2_B,P80_WR,P80_A,P100_blank,BG_rbru0,P2_W,P2_A,BG_rbru1,P4_blank,P6_R,P10_WR,P6_A,P10_NoR,P2_R,P6_W,P4_B,P2_blank,P80_R,P4_W,P60_W,P6_B,P2_NoR,P40_R,P80_blank,P60_A,P4_A,P60_NoR,P20_WR,P8_blank,P20_blank,P20_A,P100_WR,P20_W,P20_R,P8_NoR,P60_WR,P80_NoR,P40_blank,P20_NoR,P6_blank,P4_NoR,P2_WR,BG_1,BG_0,P10_blank,P8_WR,P10_R,P8_A,P60_blank,P4_WR,P8_W,P8_B,P100_A,P100_W,P40_WR,P100_R,P10_B,P100_NoR,P6_WR,P40_NoR,P10_W,P6_NoR,P8_R,P10_A
10,Green,144.25,120.0,537.25,349.75,82.75,160.66666666666666,454.25,51.5,328.75,367.5,375.0,156.5,376.5,280.25,166.75,358.25,91.5,426.0,182.0,454.25,82.75,300.25,91.5,326.5,393.75,67.0,380.5,149.75,365.5,79.0,93.25,450.0,410.5,334.75,305.75,79.25,441.5,442.5,122.5,373.5,339.25,393.0,324.5,455.0,348.25,360.75,328.5,373.0,370.5,313.75,358.0,119.5,67.5,327.75,330.5,384.75,45.5,51.25,465.0,312.25,81.5,45.75,384.0,421.25,439.5,375.5,410.0,113.5,62.75
10,Red,79.25,55.0,354.25,287.25,31.0,89.66666666666667,307.25,23.5,290.0,303.0,314.5,96.75,307.25,251.0,98.5,313.75,39.5,369.25,127.25,365.0,35.25,248.0,41.5,295.75,320.5,24.75,315.5,70.0,285.0,30.75,44.75,343.75,312.25,288.5,273.0,30.0,329.75,327.0,67.25,326.25,288.75,317.25,273.25,331.5,285.0,313.75,261.25,312.25,310.0,293.75,309.25,71.5,27.5,274.0,260.25,335.5,21.25,23.5,322.5,269.0,34.5,16.25,325.0,319.25,325.75,343.75,333.25,71.75,30.25
10,White,356.75,305.0,962.75,836.0,199.5,369.0,949.75,133.5,812.0,857.25,898.75,380.75,865.5,676.75,418.75,873.75,206.75,949.75,465.25,953.0,193.25,710.25,232.75,796.75,918.0,153.5,896.0,365.25,831.25,189.0,208.0,952.5,916.25,791.25,737.5,188.5,952.75,948.5,308.75,862.0,825.0,916.25,790.0,950.25,800.5,861.75,777.25,867.5,868.5,771.75,855.0,326.25,153.75,774.75,770.5,902.5,107.5,130.25,951.75,799.5,208.5,104.0,927.5,931.75,948.75,902.75,939.0,330.5,150.25
11,Black,6.0,5.75,6.75,7.0,5.0,8.0,5.75,6.0,7.75,5.5,7.5,12.75,5.5,7.25,11.5,12.5,13.0,15.5,7.75,23.0,7.0,7.0,6.25,7.25,7.5,6.5,8.5,4.5,7.5,6.25,12.25,7.5,7.25,16.0,6.0,4.75,4.75,8.5,5.5,14.0,5.5,5.5,6.75,8.75,16.25,7.5,6.5,5.25,5.0,14.25,14.75,10.75,11.75,6.0,7.5,17.75,5.75,5.25,8.25,6.5,5.25,4.75,6.75,16.0,7.25,14.0,17.5,11.25,10.25
11,Blue,128.75,125.75,331.75,269.75,97.75,144.66666666666666,296.75,70.5,242.75,237.0,271.5,155.0,240.75,185.75,148.5,265.5,105.25,292.0,152.75,308.0,88.75,200.0,102.75,220.75,286.25,81.75,266.5,139.75,237.25,94.75,98.25,308.0,266.0,238.25,197.0,89.75,310.75,283.75,121.5,271.5,245.25,280.0,231.0,291.25,240.0,253.25,225.25,239.0,237.25,233.75,262.0,107.75,84.5,219.75,223.5,278.75,54.75,71.25,318.75,246.75,96.25,57.25,293.75,283.0,290.5,275.0,301.25,107.75,78.0
11,Green,144.25,120.25,536.0,350.75,83.25,157.33333333333334,453.5,51.0,330.5,371.75,373.5,158.75,376.0,285.0,165.5,360.5,91.25,425.0,180.25,458.0,83.5,298.0,91.5,324.5,394.5,65.0,387.75,151.25,365.0,78.5,93.5,448.0,409.0,335.75,305.0,79.5,441.0,439.75,123.5,376.0,341.25,390.75,325.0,452.75,349.75,360.75,327.5,369.5,371.25,317.25,355.5,119.75,67.0,326.25,327.5,385.25,45.75,50.75,463.0,319.0,81.75,44.25,386.25,424.25,443.0,375.5,410.5,112.25,63.25
11,Red,79.25,54.5,355.5,288.25,30.5,91.0,310.0,23.75,293.75,302.5,317.5,99.25,306.0,252.25,98.25,313.5,38.25,365.25,127.0,367.75,35.25,249.75,42.5,295.5,317.75,25.25,312.75,68.5,285.0,32.0,42.75,345.0,307.25,286.75,272.0,30.0,328.5,323.5,64.0,327.25,288.75,320.75,271.75,331.75,286.75,310.25,261.75,313.0,311.0,295.75,309.75,69.5,29.25,275.0,259.75,334.75,22.0,22.5,322.0,270.5,35.75,16.5,324.75,323.0,328.25,344.25,336.25,70.75,30.5
11,White,356.25,305.0,960.75,842.25,199.75,366.0,949.5,133.75,809.5,857.75,902.0,379.5,872.25,679.5,421.0,873.25,208.0,951.0,468.25,951.0,193.5,708.0,231.25,793.5,915.25,154.75,901.0,364.25,831.25,190.75,208.25,955.75,915.0,786.25,731.75,186.5,952.5,949.75,310.0,882.0,822.0,914.5,786.0,949.75,802.25,867.0,774.5,867.5,867.75,775.0,856.5,326.5,154.0,775.75,768.0,903.0,109.5,131.75,954.75,797.25,210.25,106.25,927.75,930.25,950.75,902.0,937.75,329.5,149.75
12,Black,5.5,5.25,5.5,6.75,6.0,8.0,5.25,5.25,7.25,5.0,7.5,12.25,4.75,7.25,12.0,12.5,13.25,14.75,8.0,24.5,6.5,7.25,5.75,7.25,6.5,7.25,8.25,4.0,8.0,6.25,12.0,8.0,8.5,16.25,5.75,5.5,4.25,8.5,5.75,14.75,5.5,6.25,6.75,7.5,16.25,7.75,7.0,5.75,5.25,15.0,15.25,11.0,11.75,6.25,7.75,16.5,5.75,5.5,7.75,5.25,5.0,4.75,7.0,15.5,6.75,15.0,17.25,11.75,11.25
12,Blue,127.25,128.25,334.5,269.25,96.75,143.66666666666666,297.0,72.25,241.75,235.5,270.75,156.0,241.0,184.75,148.0,268.25,104.5,290.75,153.0,306.25,87.75,199.5,100.75,221.0,283.5,82.25,267.25,142.25,237.0,94.25,100.75,307.0,264.25,237.75,197.75,91.5,311.25,285.25,122.75,269.75,246.25,277.25,232.0,291.75,237.5,252.0,226.5,237.5,237.25,232.0,257.75,109.25,84.0,219.5,224.0,278.0,57.5,70.25,316.5,249.25,92.25,56.25,293.75,282.5,294.25,274.75,300.5,108.5,78.5
