Order,Color,N10_blank.csv,N10_NoR.csv,N4_blank.csv,N20_R.csv,N10_WR.csv,N2n_NoR.csv,N20_A.csv,N20_W.csv,N80_WR.csv,N100_blank.csv,N20_B.csv,N40_blank.csv,N2_blank.csv,N2_W.csv,N8_blank.csv,N40_R.csv,N80_R.csv,N60_W.csv,N2n_R.csv,N8_NoR.csv,N6_R.csv,N60_A.csv,N2_A.csv,N4_R.csv,N60_B.csv,N2_B.csv,N6_B.csv,N2n_blank.csv,N4_W.csv,N2n_B.csv,N4_A.csv,N80_B.csv,N100_WR.csv,N40_B.csv,N2n_WR.csv,N60_NoR.csv,N60_blank.csv,N2_R.csv,N40_W.csv,N20_WR.csv,N60_R.csv,N6_A.csv,N80_W.csv,N4_B.csv,N2n_W.csv,N6_W.csv,N80_A.csv,N40_A.csv,N8_B.csv,N6_WR.csv,N10_W.csv,N10_A.csv,N80_blank.csv,N8_A.csv,N10_B.csv,N8_W.csv,N6_blank.csv,N20_NoR.csv,N4_NoR.csv,N8_R.csv,N4_WR.csv,N80_NoR.csv,BG_1.csv,N8_WR.csv,N10_R.csv,N60_WR.csv,BG_0.csv,N40_NoR.csv,N6_NoR.csv,N100_R.csv,N40_WR.csv,N20_blank.csv,N100_NoR.csv,N100_W.csv,N2_WR.csv,N100_A.csv,N100_B.csv
16,Blue,213.0,242.5,211.75,21.75,258.5,266.25,15.25,227.75,256.5,213.0,22.0,188.5,222.25,289.25,205.5,10.5,12.75,217.25,160.75,267.25,85.5,22.5,135.5,124.75,14.75,121.5,56.0,208.25,285.75,148.5,91.75,10.75,242.25,13.0,244.75,282.75,204.5,163.0,269.5,214.25,16.75,90.75,219.75,87.25,270.0,295.0,12.75,9.25,37.25,269.75,193.0,28.75,213.25,43.25,35.75,269.0,210.0,229.5,273.25,63.5,257.5,225.5,238.5,244.25,42.25,207.75,238.0,262.25,275.0,10.5,213.25,209.0,235.5,282.0,253.25,10.5,9.25
16,Green,328.0,381.0,332.75,119.25,408.25,427.75,68.5,343.5,372.75,316.75,80.25,309.75,342.25,458.0,320.0,38.75,15.0,332.25,337.0,408.5,251.25,58.5,293.75,329.5,43.0,285.0,179.25,326.75,413.75,314.75,228.75,16.0,379.5,37.5,415.5,446.75,333.75,372.5,368.0,346.0,26.25,231.25,351.0,233.25,429.5,411.75,20.25,19.25,149.5,393.75,298.0,119.5,313.75,170.5,122.0,418.75,314.75,355.25,398.25,245.5,397.75,332.5,371.25,397.0,165.25,339.75,371.0,372.5,385.25,14.0,297.0,326.75,355.0,433.25,410.0,14.25,13.75
16,Red,272.5,315.0,274.0,280.5,320.25,329.5,212.0,320.5,324.0,280.5,204.0,282.75,280.0,369.0,277.75,199.75,34.25,310.5,304.5,333.75,313.5,112.25,311.75,319.5,104.25,298.25,269.25,268.75,331.0,296.0,288.75,18.75,321.5,122.0,322.25,358.5,283.0,330.5,329.75,314.5,98.75,261.0,302.0,289.25,335.0,335.75,40.75,108.5,257.0,336.25,307.75,239.25,283.5,269.0,230.0,338.0,282.0,323.5,328.5,315.5,320.75,304.0,313.75,328.25,278.0,327.0,310.0,321.0,336.5,22.0,313.5,274.5,313.5,340.0,336.75,24.5,22.25
16,White,772.5,885.25,774.0,408.75,925.5,940.5,283.75,846.0,893.25,770.25,291.5,743.5,799.5,954.5,763.5,244.25,55.75,816.0,763.5,941.0,629.75,173.0,713.5,743.25,152.0,680.25,480.5,768.5,943.5,726.5,589.5,35.75,889.0,160.0,924.0,953.5,776.75,823.75,908.5,827.75,136.25,563.0,827.25,588.25,944.75,948.5,61.5,128.0,430.5,932.25,760.0,376.75,766.25,465.0,377.75,946.25,765.25,853.0,928.0,608.5,911.25,814.0,867.0,911.0,469.5,826.0,865.5,898.0,931.0,39.5,781.75,766.75,848.25,948.75,930.5,39.5,37.0
17,Black,4.0,3.0,4.75,4.0,3.0,5.25,4.5,4.25,4.25,4.25,4.5,4.25,5.5,5.75,3.0,4.5,4.0,4.25,5.0,3.25,4.0,4.0,5.0,4.25,3.5,4.25,4.25,5.75,4.5,4.5,4.75,4.5,4.0,4.25,4.75,4.0,4.0,4.0,4.25,4.25,3.75,4.25,4.5,4.5,5.25,3.75,4.5,4.75,3.75,4.0,3.5,4.0,5.0,4.0,4.75,3.5,4.5,4.25,4.0,3.0,4.25,4.5,5.5,3.25,3.25,4.5,5.0,4.0,3.5,4.0,4.25,4.75,4.75,4.0,5.25,4.0,4.25
17,Blue,210.75,237.75,213.5,21.0,256.5,265.5,15.25,227.0,254.5,214.5,21.5,192.5,219.25,290.75,206.5,10.75,13.0,217.5,159.75,263.75,84.25,22.25,136.75,122.0,16.0,120.75,52.75,207.5,287.25,148.5,91.5,10.0,243.75,13.0,243.25,285.75,203.75,164.0,272.75,214.25,15.5,93.0,221.0,85.25,272.0,297.75,13.0,9.5,37.5,269.75,195.5,29.75,216.0,41.75,34.25,269.25,210.0,230.25,271.5,63.25,255.25,225.0,237.0,241.25,41.5,206.5,239.5,262.25,276.0,9.75,215.0,208.0,235.5,286.0,253.25,10.75,9.75
17,Green,329.75,381.75,331.0,119.0,410.0,430.25,67.75,347.75,374.5,320.25,79.75,313.25,343.5,457.5,318.5,39.25,15.25,333.25,335.5,411.75,250.25,57.0,291.5,329.5,42.0,287.25,180.0,325.75,416.25,316.5,229.5,16.75,377.75,37.0,415.0,443.5,328.5,369.5,365.5,344.0,27.0,233.5,352.75,232.5,428.25,410.5,19.5,19.5,151.25,390.25,295.5,120.5,309.75,169.25,122.25,419.75,312.25,353.75,397.25,244.75,397.75,334.5,372.0,396.0,166.0,337.5,371.5,373.75,384.75,13.5,296.25,327.0,356.75,434.75,409.75,14.5,14.75
17,Red,273.0,317.75,273.0,278.0,320.5,327.25,210.25,321.25,325.0,281.25,204.0,278.0,278.25,370.75,274.75,200.5,34.5,309.0,305.0,336.0,314.25,113.75,312.75,321.0,105.0,299.25,269.0,273.5,332.5,299.25,290.0,18.25,321.75,121.5,325.25,361.25,283.75,330.75,330.25,312.25,100.75,258.0,299.0,290.75,333.75,338.5,40.5,108.0,258.25,335.5,309.75,239.5,282.25,273.75,228.5,338.75,281.5,321.25,328.75,320.25,318.0,302.0,310.0,325.75,281.0,327.0,311.25,325.0,334.75,21.25,311.5,272.0,312.5,344.25,337.25,22.5,21.0
17,White,774.0,887.25,775.75,412.25,924.0,942.0,283.25,847.0,892.75,771.0,289.5,742.0,797.75,954.5,762.5,246.0,55.75,819.5,765.0,937.25,631.75,172.0,715.0,740.75,149.5,674.25,483.25,763.25,940.5,727.25,586.25,36.0,893.25,160.25,921.25,951.0,776.0,822.5,912.5,826.75,140.25,567.5,828.5,586.75,942.0,948.5,61.5,128.0,424.75,934.25,765.25,379.0,764.75,466.75,380.25,941.0,762.25,848.0,930.25,611.75,912.0,815.75,865.75,913.25,469.75,823.75,866.5,898.75,927.0,38.75,780.0,768.25,852.25,950.5,927.75,37.75,37.75
18,Black,3.75,3.25,4.25,4.0,3.0,5.25,4.25,4.5,5.0,4.5,4.0,5.0,5.75,5.5,3.75,4.25,4.25,4.0,4.75,3.5,3.25,3.75,4.5,4.5,4.25,4.25,4.25,5.0,4.0,4.5,4.75,4.25,4.5,4.25,4.5,4.5,4.5,4.0,4.5,4.0,3.75,4.5,4.5,4.25,4.5,3.75,5.0,4.25,4.25,4.0,3.0,4.75,4.75,4.75,4.25,3.0,4.5,4.75,4.25,3.0,4.75,4.25,5.25,3.0,3.25,4.0,5.5,4.25,3.75,3.75,4.5,4.0,4.0,4.0,4.75,3.75,3.5
18,Blue,210.5,239.0,212.75,21.25,259.25,263.75,15.25,228.0,253.0,214.0,22.0,192.25,220.25,288.75,205.75,10.0,12.5,219.75,159.25,265.5,84.75,23.5,135.25,122.75,15.25,120.0,55.5,210.25,288.0,147.75,89.5,10.0,242.75,12.75,244.5,281.5,205.75,161.5,270.5,212.25,16.0,92.5,221.0,86.25,270.5,297.5,11.75,10.5,39.0,271.5,192.5,30.0,213.5,44.0,34.75,272.0,211.0,226.0,272.25,62.75,257.5,223.25,237.0,242.5,42.25,207.25,235.5,264.0,276.75,10.25,216.25,207.0,235.5,285.5,253.75,9.75,9.5
18,Green,329.5,383.5,331.75,118.0,408.25,431.25,66.25,347.75,373.75,316.5,82.25,313.75,343.0,456.0,320.0,39.75,15.5,333.5,337.0,413.5,252.25,58.5,291.25,327.0,42.5,286.0,177.5,327.5,416.5,314.5,233.0,17.0,377.75,37.5,414.75,446.5,332.5,370.25,368.0,346.75,26.0,229.75,354.5,234.25,426.25,415.0,20.0,18.75,150.25,394.25,294.5,120.25,311.0,167.25,124.5,416.25,312.0,355.0,399.5,247.75,399.5,333.25,371.5,395.5,164.25,335.25,369.75,373.25,382.5,13.75,294.75,331.25,354.5,438.0,411.75,14.0,13.5
18,Red,274.75,315.0,272.5,276.0,320.25,327.5,212.5,320.75,323.0,279.5,204.25,281.5,282.5,367.75,274.5,200.0,34.5,313.25,304.75,335.25,314.5,113.75,313.5,320.25,105.0,298.75,267.0,272.0,330.25,301.0,292.5,19.0,324.25,121.75,327.0,358.5,282.25,330.75,329.75,317.25,98.5,259.75,299.75,288.5,333.25,338.25,38.25,108.0,256.25,336.25,311.75,238.75,284.0,270.5,231.0,342.5,284.25,320.25,329.0,315.75,318.0,300.5,310.0,326.75,281.75,324.5,311.5,325.25,338.0,22.75,313.5,275.25,314.0,342.75,338.0,23.75,21.75
18,White,775.0,889.25,774.5,410.25,924.25,939.25,283.25,843.5,891.75,772.25,290.25,738.0,797.75,954.0,764.0,244.75,53.75,817.25,762.0,935.5,629.75,170.75,713.0,740.25,148.25,677.75,483.75,766.5,943.25,726.75,590.0,36.5,886.0,161.25,922.25,953.25,776.5,823.5,907.25,827.25,136.25,566.0,827.5,584.75,943.75,947.0,60.25,130.5,430.25,931.5,767.0,377.5,760.5,465.75,378.25,944.25,761.5,853.25,927.0,610.5,914.5,814.75,864.5,912.25,467.75,828.25,864.0,898.75,930.5,37.5,781.25,767.0,855.0,949.5,931.75,38.5,38.0
19,Black,3.5,3.5,4.75,4.0,3.0,5.0,4.25,4.0,4.5,4.5,4.25,5.0,5.5,6.0,3.0,4.75,4.5,4.25,5.0,3.0,4.0,4.5,4.0,4.25,4.25,4.0,4.5,4.75,4.25,5.0,5.0,4.25,4.25,4.25,5.0,4.25,4.5,4.25,4.75,4.25,3.5,4.0,4.75,4.75,5.0,3.75,4.5,4.25,4.5,3.5,3.25,4.25,4.75,4.5,4.0,3.5,4.0,4.5,4.0,3.25,4.25,5.25,5.25,3.75,3.25,4.5,5.75,4.5,3.5,4.0,4.25,4.25,4.25,4.0,5.25,4.0,4.25
19,Blue,211.75,240.0,213.25,20.0,256.75,266.25,15.5,226.75,255.0,215.25,22.0,188.75,221.5,288.75,207.75,10.25,13.0,220.75,160.75,266.0,85.0,22.75,134.75,123.5,15.0,118.75,55.25,210.5,287.5,151.5,89.25,10.5,241.25,13.0,243.5,285.0,202.5,163.5,267.75,211.25,15.75,93.75,221.25,86.75,267.75,297.25,12.75,10.0,39.25,272.25,195.25,30.0,214.25,43.0,34.5,271.0,208.75,225.5,271.75,64.25,255.5,224.25,236.75,243.5,41.0,208.0,237.25,262.0,276.25,10.25,216.75,205.25,235.5,283.75,254.0,10.25,8.75
19,Green,330.25,382.5,328.75,118.5,405.75,431.0,67.25,348.25,371.25,318.25,79.0,312.0,343.5,455.75,322.25,40.5,15.5,333.25,336.5,415.5,248.5,58.25,294.25,328.75,43.5,287.25,177.0,324.25,414.75,313.0,233.5,15.5,380.75,38.75,413.0,444.75,330.75,370.5,366.5,343.5,25.5,233.25,354.5,232.75,425.5,415.25,20.0,19.0,148.25,393.75,296.25,119.0,312.0,169.25,124.5,417.5,314.75,353.0,395.75,250.0,399.5,337.0,370.0,393.5,165.5,338.5,369.25,376.25,386.25,13.0,294.75,329.5,355.75,433.0,409.0,13.75,14.75
19,Red,272.75,313.75,273.75,280.75,318.0,328.5,210.0,322.5,324.0,278.75,204.75,278.75,278.25,369.0,275.75,200.75,34.5,307.25,306.5,335.75,316.25,113.75,312.25,322.5,105.25,300.25,269.5,272.75,331.25,298.25,290.0,18.0,321.0,122.75,323.25,358.25,283.25,329.5,330.25,313.75,97.25,259.0,304.5,290.0,335.25,341.5,39.0,109.5,254.0,333.25,307.75,239.5,282.25,271.5,229.25,338.5,280.5,321.75,326.0,319.25,322.0,303.0,310.5,328.75,277.75,324.75,311.25,322.75,337.25,21.75,311.25,272.0,315.25,341.75,336.5,24.25,21.5
19,White,775.5,888.25,774.75,411.5,924.25,941.0,283.25,842.75,891.5,768.75,289.5,743.0,796.5,955.25,763.75,245.5,54.75,817.0,764.0,939.75,631.0,171.0,712.5,740.25,150.25,679.5,483.0,767.75,942.25,726.25,588.25,36.0,890.5,160.75,922.5,954.5,776.5,819.5,909.0,820.0,137.75,563.0,826.0,588.5,940.75,947.25,60.25,130.75,427.25,933.25,762.0,378.0,765.5,466.75,378.25,943.75,768.5,851.75,930.75,609.5,910.75,811.25,865.75,909.5,471.5,822.75,866.25,896.5,930.0,38.25,776.75,767.75,852.0,949.25,931.0,39.25,37.75
20,Black,3.0,3.0,4.5,4.25,3.25,5.0,4.0,4.25,4.25,4.0,4.5,4.5,5.5,6.0,3.25,4.25,5.0,3.75,4.5,3.5,3.75,4.0,4.25,4.0,4.5,4.0,4.25,5.0,4.25,4.5,5.0,4.25,3.75,4.25,4.25,4.5,4.5,4.25,4.5,4.5,4.25,4.0,5.25,4.5,4.75,4.0,4.25,3.75,4.75,4.25,3.25,4.25,5.0,4.75,4.25,3.75,4.0,4.5,4.0,3.25,5.0,4.75,5.25,3.0,3.0,4.25,5.5,4.25,3.75,4.25,4.25,4.5,4.0,4.0,5.5,4.25,4.0
20,Blue,211.75,241.75,211.75,21.5,256.75,264.0,14.25,227.0,252.5,212.25,22.0,190.5,221.5,291.0,204.5,10.0,12.75,218.5,160.5,264.25,83.5,22.75,136.25,121.75,15.75,120.75,54.0,209.5,287.0,146.75,91.25,10.0,243.0,12.5,244.25,283.0,205.25,164.0,268.75,209.75,15.75,92.5,220.25,84.5,269.75,296.5,11.75,9.75,38.25,269.5,191.75,29.75,215.5,42.25,36.5,272.0,211.5,228.25,271.75,62.5,255.75,223.25,237.0,243.0,42.25,206.25,238.25,264.25,277.0,11.0,217.0,209.0,233.0,283.75,251.25,10.75,9.5
20,Green,330.5,380.25,329.0,120.5,409.0,427.0,69.0,347.5,375.25,319.75,79.0,314.0,343.25,456.0,319.25,40.0,16.0,334.75,335.5,415.5,250.5,57.75,295.25,330.25,42.5,287.75,176.0,323.25,412.75,314.0,233.25,16.0,376.75,38.5,414.25,445.75,329.25,370.25,368.0,346.25,26.0,231.5,351.5,232.75,428.0,416.75,20.25,18.75,151.25,394.0,296.5,119.75,311.0,169.5,124.0,421.0,311.75,353.0,397.5,247.5,398.25,338.75,373.25,396.75,167.5,338.75,371.75,375.25,385.5,13.25,295.0,327.0,354.5,433.75,411.25,15.0,14.0
20,Red,276.5,313.25,273.75,281.0,320.0,328.5,210.0,322.25,322.5,278.75,206.0,279.5,279.75,369.75,274.25,198.5,34.0,309.0,304.75,336.0,317.0,113.75,313.5,320.75,105.25,296.5,269.75,271.0,332.75,300.5,292.0,18.75,321.75,122.5,323.75,358.0,282.0,334.25,329.25,315.0,97.25,259.25,299.25,286.25,331.0,339.25,40.25,108.75,254.0,333.75,307.5,239.0,285.5,268.75,232.0,337.0,280.0,320.25,328.5,319.5,321.75,302.25,312.0,331.25,277.25,327.25,312.0,326.25,336.0,21.5,311.0,275.0,316.25,341.5,336.0,24.0,21.25
20,White,776.25,889.0,775.75,411.0,927.5,940.75,283.5,843.5,892.0,772.75,290.5,743.5,795.75,955.75,764.0,241.75,54.0,816.25,760.25,941.0,631.25,172.0,710.5,740.25,150.75,678.25,481.75,766.0,944.25,726.0,591.0,38.0,889.25,160.0,922.25,953.75,778.75,823.25,910.75,828.5,136.75,564.75,830.0,586.0,939.5,947.0,62.75,127.25,427.0,930.25,765.0,376.75,766.75,468.25,383.0,942.0,766.25,848.75,930.25,610.5,914.5,813.75,865.5,909.75,471.0,825.0,866.5,898.75,927.5,38.25,777.5,770.5,855.0,951.75,933.25,40.0,36.25
21,Black,3.5,3.25,4.25,3.75,3.25,5.0,4.0,4.25,4.0,4.5,4.0,4.25,6.0,5.5,3.0,4.0,4.5,4.25,4.5,3.0,3.0,4.0,4.25,4.5,4.25,4.25,4.5,5.0,4.75,5.0,5.0,4.25,4.25,3.75,4.5,4.25,4.25,4.25,4.0,4.0,4.25,4.75,4.5,5.0,5.25,4.0,4.5,3.75,4.5,3.75,3.5,4.25,5.25,4.25,4.25,3.25,4.0,4.0,4.25,3.25,4.75,4.5,5.0,3.5,3.25,4.0,5.25,4.5,3.5,4.25,4.0,4.75,4.25,4.25,4.75,4.25,4.0
21,Blue,211.25,238.0,212.25,21.75,258.75,265.25,14.5,228.5,255.25,214.75,21.75,189.75,218.0,291.5,208.5,10.0,12.25,216.75,161.25,264.25,85.25,23.0,136.5,124.25,15.5,122.5,55.5,213.0,286.0,147.5,91.75,11.5,246.0,12.75,244.5,284.75,205.5,162.25,269.75,210.0,16.25,94.75,220.25,85.25,269.75,296.75,12.0,9.0,38.0,271.25,193.75,31.5,213.5,43.75,34.5,269.5,210.5,227.5,271.25,62.25,256.75,221.75,237.5,243.25,40.25,204.75,238.0,262.5,273.5,10.25,215.0,206.75,236.0,283.5,253.25,10.75,9.5
21,Green,327.25,380.25,331.75,120.25,409.25,432.5,67.5,351.75,376.0,317.0,80.75,312.75,342.5,456.25,318.0,40.25,14.75,332.5,340.0,413.5,251.25,57.25,295.25,332.75,43.25,288.75,176.0,324.5,416.0,314.0,231.25,16.25,378.0,37.75,412.5,446.0,330.25,368.25,369.5,346.5,25.75,232.0,352.5,234.0,429.0,415.75,19.0,18.5,147.75,392.0,298.25,121.75,311.25,167.75,124.0,417.75,314.0,354.0,396.0,248.25,400.0,334.5,370.75,396.25,164.5,337.25,368.5,378.25,385.0,14.0,294.75,328.75,351.0,436.25,409.25,14.75,14.75
21,Red,272.75,313.75,272.25,278.5,319.5,328.5,209.75,320.0,320.75,280.5,203.5,278.75,279.5,368.5,277.5,199.0,35.25,310.0,305.5,335.25,315.0,115.25,310.5,318.75,104.25,298.75,266.75,273.0,330.0,297.0,291.0,18.5,321.0,123.5,324.75,358.75,283.5,332.0,328.75,312.0,96.5,263.0,301.5,286.25,333.25,340.0,40.0,108.5,252.75,337.0,308.0,237.0,283.25,270.5,230.25,335.5,278.75,324.25,328.5,320.0,321.0,301.25,310.25,328.75,277.25,328.5,311.25,324.75,338.75,21.75,311.75,273.0,314.0,341.75,337.25,24.0,22.25
21,White,772.25,887.0,777.5,411.25,925.75,941.25,283.0,849.0,892.25,771.25,290.5,744.5,798.0,955.25,764.25,245.0,54.25,815.25,762.0,940.25,630.0,172.0,711.0,744.25,149.0,680.0,484.0,769.5,944.5,722.25,589.5,38.25,891.25,159.75,922.0,953.0,777.75,824.5,910.0,823.5,136.75,569.25,824.5,585.25,940.0,946.5,61.0,128.25,424.25,931.25,765.75,375.75,762.5,464.75,377.75,942.5,764.25,850.25,929.75,606.5,909.25,813.25,866.25,908.5,473.75,824.5,865.5,897.5,931.5,37.75,776.75,767.25,854.25,951.0,931.0,38.75,37.25
22,Black,3.5,3.25,4.5,4.25,3.25,5.0,4.25,4.75,4.0,4.25,4.0,5.0,5.25,5.75,3.25,4.0,4.25,3.75,4.5,3.5,3.25,4.0,4.0,4.75,4.25,4.25,4.5,5.5,4.5,4.5,5.25,4.25,4.0,3.75,5.0,4.75,4.25,3.75,4.0,4.25,4.0,4.0,4.5,4.0,5.5,4.0,4.5,4.25,4.5,4.0,3.0,4.0,5.0,4.25,4.0,3.25,4.0,4.0,4.5,3.25,4.0,4.5,5.25,3.5,3.25,4.25,5.25,4.5,3.5,3.5,4.5,5.25,4.0,4.25,5.0,4.25,4.25
