Order,Color,N10_blank.csv,N10_NoR.csv,N4_blank.csv,N20_R.csv,N10_WR.csv,N2n_NoR.csv,N20_A.csv,N20_W.csv,N80_WR.csv,N100_blank.csv,N20_B.csv,N40_blank.csv,N2_blank.csv,N2_W.csv,N8_blank.csv,N40_R.csv,N80_R.csv,N60_W.csv,N2n_R.csv,N8_NoR.csv,N6_R.csv,N60_A.csv,N2_A.csv,N4_R.csv,N60_B.csv,N2_B.csv,N6_B.csv,N2n_blank.csv,N4_W.csv,N2n_B.csv,N4_A.csv,N80_B.csv,N100_WR.csv,N40_B.csv,N2n_WR.csv,N60_NoR.csv,N60_blank.csv,N2_R.csv,N40_W.csv,N20_WR.csv,N60_R.csv,N6_A.csv,N80_W.csv,N4_B.csv,N2n_W.csv,N6_W.csv,N80_A.csv,N40_A.csv,N8_B.csv,N6_WR.csv,N10_W.csv,N10_A.csv,N80_blank.csv,N8_A.csv,N10_B.csv,N8_W.csv,N6_blank.csv,N20_NoR.csv,N4_NoR.csv,N8_R.csv,N4_WR.csv,N80_NoR.csv,BG_1.csv,N8_WR.csv,N10_R.csv,N60_WR.csv,BG_0.csv,N40_NoR.csv,N6_NoR.csv,N100_R.csv,N40_WR.csv,N20_blank.csv,N100_NoR.csv,N100_W.csv,N2_WR.csv,N100_A.csv,N100_B.csv
22,Blue,213.25,239.25,213.0,20.25,258.0,262.25,15.75,227.75,250.75,214.5,22.5,191.5,220.0,290.25,206.75,10.5,12.75,219.25,159.0,264.25,83.5,23.25,136.0,124.25,15.25,122.25,54.75,209.5,289.5,147.5,90.25,10.25,242.25,12.25,243.5,285.5,204.0,163.0,269.25,211.5,15.75,94.25,221.5,87.75,269.0,299.0,12.75,9.25,38.25,269.0,193.75,29.25,214.5,42.5,34.5,269.5,207.5,226.0,275.25,63.25,257.25,226.25,239.0,242.5,42.25,208.25,238.75,262.25,277.0,10.25,215.0,207.5,234.5,282.75,251.75,10.75,9.5
22,Green,326.25,381.75,331.0,120.25,410.0,430.5,66.25,352.25,375.25,315.0,82.25,312.5,341.0,453.25,319.5,38.0,15.0,332.5,336.0,415.5,252.5,58.75,294.25,328.75,42.25,289.5,178.25,325.0,416.25,312.0,230.0,15.75,378.25,39.5,412.25,444.25,331.0,373.75,367.25,345.5,25.75,232.75,353.0,235.25,427.75,416.0,20.0,19.5,148.25,392.5,300.0,119.25,308.0,169.75,125.5,419.0,312.5,354.25,397.25,246.75,396.25,333.0,372.0,395.25,165.5,335.0,372.25,375.5,380.25,13.5,296.0,330.5,353.5,435.75,411.5,14.25,14.25
22,Red,274.5,318.25,273.75,277.75,317.5,327.5,214.0,320.25,322.75,280.0,207.0,277.5,281.0,368.75,276.25,199.25,34.25,309.5,303.75,334.75,316.0,113.5,314.75,322.75,106.25,297.0,269.5,275.25,330.0,301.25,289.5,19.0,323.25,122.25,320.75,362.75,283.5,331.75,330.5,316.5,98.25,259.75,304.25,289.5,332.25,336.25,40.0,108.0,254.25,336.0,308.25,240.25,283.0,272.25,231.75,336.5,281.0,323.25,324.0,317.75,318.75,300.25,314.0,328.0,276.75,328.5,312.75,323.75,336.25,21.5,310.5,272.25,311.25,342.5,336.75,24.75,22.75
22,White,777.5,887.25,772.5,410.25,922.0,944.25,281.75,844.0,895.25,769.75,290.75,744.5,795.0,955.25,767.5,243.75,56.0,816.0,767.0,938.75,631.75,173.75,709.5,738.0,146.75,677.75,483.5,764.0,944.75,727.25,591.75,35.75,891.0,161.75,922.75,952.25,779.5,823.0,911.5,826.5,136.25,565.25,828.0,585.25,943.5,949.5,63.0,129.75,426.5,932.5,765.75,377.0,767.5,468.75,379.25,941.25,763.0,851.25,929.25,607.0,916.5,815.25,867.25,912.5,471.5,826.5,868.75,898.5,928.25,37.5,775.25,768.0,851.5,948.0,927.5,40.25,38.5
23,Black,3.5,3.5,4.25,4.0,3.0,4.75,4.0,4.25,5.0,4.5,4.75,4.0,5.5,6.0,3.0,4.0,4.0,4.25,5.0,3.0,3.25,3.75,4.25,4.25,4.5,4.5,4.0,5.25,4.25,4.75,4.75,4.25,3.75,4.25,5.0,4.25,4.25,4.0,4.5,4.5,4.75,4.5,4.5,4.75,5.5,4.25,4.25,4.0,4.25,4.0,3.5,4.0,4.75,4.5,4.5,3.25,4.25,4.25,4.5,3.0,4.5,4.75,5.5,3.5,3.25,4.5,5.5,4.75,3.5,3.75,4.25,4.25,4.0,4.0,5.5,4.0,4.25
23,Blue,211.5,238.5,211.25,20.25,259.25,263.0,14.5,228.25,251.75,215.25,22.75,193.25,222.5,291.25,206.25,10.75,13.25,216.25,160.25,266.75,85.25,22.5,137.25,123.0,15.75,121.0,54.75,208.0,286.5,146.0,90.5,10.25,244.0,13.25,246.0,284.25,203.75,164.5,267.75,213.25,15.75,94.25,225.0,85.25,267.5,296.0,12.75,9.75,38.0,270.25,194.25,29.5,214.25,43.75,36.5,271.25,209.25,224.75,270.0,62.0,258.0,225.0,237.25,244.25,41.5,206.25,237.25,261.5,275.75,10.0,217.75,207.25,237.25,284.5,254.5,10.0,9.0
23,Green,328.75,383.0,330.75,119.75,409.0,430.25,67.5,351.5,374.0,319.0,79.25,312.75,343.0,457.0,317.25,39.5,15.5,334.25,339.75,413.75,250.25,57.75,294.5,330.75,42.75,287.25,176.75,324.75,413.5,314.75,230.75,16.5,378.25,38.5,414.0,442.75,332.25,371.25,366.0,345.5,26.5,232.75,350.0,234.5,425.5,414.5,19.0,19.0,149.5,394.75,298.5,123.75,314.25,168.0,124.25,417.0,313.5,352.25,396.75,248.5,400.0,335.0,369.0,398.75,164.5,336.75,369.5,379.25,383.75,13.5,297.75,329.5,353.25,433.0,410.5,13.5,14.5
23,Red,272.25,315.75,276.0,281.5,315.5,326.5,208.75,323.75,320.5,280.25,205.5,280.0,282.25,370.0,273.25,198.25,34.0,311.75,302.5,335.0,317.0,114.75,314.25,319.0,107.0,300.0,267.75,274.0,330.0,299.0,291.75,18.0,322.0,123.0,322.5,362.0,283.5,332.5,330.0,315.5,98.5,262.0,300.75,287.25,333.25,336.75,40.0,107.5,255.5,334.75,311.75,234.75,286.5,270.5,231.0,337.75,282.25,322.25,326.75,317.25,321.0,300.75,307.5,328.25,278.75,324.5,309.75,325.5,337.5,21.75,312.75,272.5,314.75,343.5,337.5,23.75,21.75
23,White,775.5,885.75,777.25,409.25,923.25,943.0,284.25,845.5,895.5,772.0,292.75,743.75,800.0,957.25,766.75,245.75,55.5,816.75,765.25,942.0,633.25,171.75,711.5,743.75,153.75,677.5,484.75,763.5,943.5,726.25,586.25,37.25,891.25,163.25,922.5,952.75,777.5,824.75,910.5,826.0,135.5,565.25,826.75,585.75,945.0,947.5,60.75,127.5,430.25,933.5,764.0,379.5,767.5,469.0,379.5,941.25,766.25,850.5,931.0,608.25,916.0,814.0,866.25,910.5,466.25,825.5,868.75,899.25,928.5,39.75,780.0,768.75,853.0,949.25,930.0,38.5,37.25
24,Black,3.0,3.5,4.25,4.75,3.5,5.0,4.25,4.25,4.25,4.25,4.0,4.25,6.0,5.5,3.25,4.25,4.5,4.5,5.0,3.25,3.25,4.0,4.25,4.5,3.75,4.0,4.5,5.0,4.0,5.0,5.0,4.25,4.5,4.25,4.5,4.0,4.25,4.25,4.75,4.25,4.0,4.5,4.75,4.0,5.0,4.0,4.25,4.0,4.5,3.5,3.75,4.0,5.0,4.25,4.0,3.0,4.0,4.5,4.25,3.25,4.25,4.75,5.0,3.5,3.25,4.5,5.333333333333333,4.5,3.75,4.0,4.25,4.5,4.5,4.25,5.25,4.25,4.25
24,Blue,212.75,242.25,209.5,20.25,259.25,264.75,14.75,229.25,252.0,217.75,21.5,190.5,220.75,291.75,207.5,10.25,13.0,217.25,160.5,266.5,85.25,23.0,136.75,122.75,15.0,120.5,55.75,208.5,287.25,149.5,91.0,11.0,244.75,12.75,244.75,284.5,203.0,163.25,269.25,210.25,16.0,93.0,220.75,87.0,271.25,299.25,12.0,9.75,37.75,272.25,192.25,29.25,213.0,44.5,36.5,270.0,210.25,226.5,273.5,62.75,258.0,223.0,239.25,242.25,42.0,209.25,237.75,263.25,274.5,9.75,214.0,206.25,236.0,283.25,250.0,10.5,9.5
24,Green,327.75,382.25,331.25,120.5,408.0,428.5,65.5,351.25,376.5,318.25,80.0,310.0,344.5,457.0,322.5,40.5,15.25,333.0,335.75,411.75,251.75,57.0,291.25,330.5,43.25,289.0,179.0,327.25,414.25,312.5,231.0,16.25,380.25,37.75,416.75,446.0,333.75,365.25,367.25,344.5,26.75,234.75,354.0,232.5,428.75,412.75,19.25,19.0,148.75,393.75,296.75,122.0,312.0,170.75,123.0,417.75,310.75,354.25,398.25,246.25,399.25,335.75,371.25,396.75,168.25,338.5,372.75,375.75,383.5,14.25,301.0,327.5,358.5,434.5,410.5,14.25,14.5
24,Red,274.75,315.5,273.25,278.5,320.0,328.25,208.75,320.75,319.25,279.0,204.75,281.75,280.25,368.5,277.75,197.75,33.5,309.25,304.5,334.75,314.0,115.25,313.0,322.0,104.75,299.0,269.25,275.0,330.75,298.0,289.75,19.5,324.0,122.25,325.5,359.5,282.25,329.5,333.75,316.25,95.5,261.75,301.25,289.75,334.75,336.75,39.25,108.25,255.25,334.75,310.0,238.25,282.0,268.75,231.5,336.5,282.0,320.25,325.0,314.75,323.25,304.25,311.75,330.0,279.25,328.5,311.25,324.5,335.0,22.0,311.0,272.0,316.75,342.5,334.75,24.25,21.75
24,White,772.0,888.25,776.5,411.5,926.25,942.0,282.25,845.0,892.25,772.5,294.75,746.5,795.5,956.25,763.0,246.5,57.0,813.5,763.5,941.25,630.75,173.0,711.0,741.25,149.25,673.25,480.75,768.75,942.75,725.75,589.0,36.25,889.25,162.0,921.25,954.0,774.75,823.25,908.5,826.25,135.25,566.0,826.75,588.75,945.5,947.25,61.0,130.0,428.25,932.25,766.25,374.25,764.5,463.75,378.75,944.25,764.75,849.75,930.0,608.25,917.0,814.0,865.75,909.5,469.25,824.0,865.5,897.5,928.75,38.5,780.5,767.0,855.75,950.75,930.5,38.75,37.25
