N10_blank.csv,N10_NoR.csv,N4_blank.csv,N10_WR.csv,N2_blank.csv,N2_W.csv,N8_blank.csv,N8_NoR.csv,N6_R.csv,N2_A.csv,N4_R.csv,N2_B.csv,N6_B.csv,N4_W.csv,N4_A.csv,N2_R.csv,N6_A.csv,N4_B.csv,N6_W.csv,N8_B.csv,N6_WR.csv,N10_W.csv,N10_A.csv,N8_A.csv,N10_B.csv,N8_W.csv,N6_blank.csv,N4_NoR.csv,N8_R.csv,N4_WR.csv,BG_1.csv,N8_WR.csv,N10_R.csv,BG_0.csv,N6_NoR.csv,N2_WR.csv
273.75,316.0,275.0,320.0,281.25,368.75,273.25,334.75,313.25,313.75,320.0,300.0,269.75,334.0,292.0,327.75,261.0,288.0,335.0,254.25,333.25,309.0,241.5,270.75,231.5,339.0,281.5,328.5,317.25,320.5,312.0,328.25,276.25,310.5,336.0,337.0
770.75,887.25,772.5,926.0,800.75,957.25,765.75,937.5,630.25,711.5,744.25,676.25,483.5,943.25,588.75,823.25,562.75,585.5,948.5,430.25,930.25,761.5,374.0,462.25,377.25,943.25,768.25,930.75,608.75,914.5,864.75,911.75,474.5,865.25,929.75,928.25
3.5,3.25,4.5,3.75,5.25,6.0,3.5,3.5,3.75,4.0,4.25,4.5,4.0,4.5,5.0,4.5,4.75,4.75,4.0,4.25,4.0,3.5,4.25,4.5,3.75,3.75,4.0,4.0,3.0,4.25,5.0,3.75,3.25,5.75,4.0,5.75
212.25,240.25,211.25,256.5,222.5,291.5,207.25,262.25,85.5,134.75,120.5,121.75,56.0,286.25,91.5,163.5,92.5,86.25,297.75,38.25,271.25,194.5,30.0,44.25,35.5,271.75,212.0,271.75,64.5,256.5,240.0,242.0,41.25,239.5,275.25,251.5
325.5,381.5,331.5,406.75,344.5,455.5,318.5,411.25,255.75,296.25,333.25,290.25,175.5,416.75,232.5,370.75,231.5,232.5,415.0,148.25,393.75,295.25,121.0,170.0,125.5,418.0,312.25,398.0,243.5,397.75,371.5,396.75,165.0,372.75,385.5,412.75
275.25,318.0,275.25,319.0,278.0,367.5,275.25,336.0,313.75,312.5,321.5,295.75,270.0,330.75,289.75,333.5,261.5,289.75,336.25,257.0,335.0,311.25,238.75,269.0,232.75,338.25,280.0,328.0,316.0,321.5,309.0,329.75,280.75,311.25,335.5,335.0
771.75,889.25,774.5,927.75,799.5,954.75,766.0,939.75,629.75,711.25,742.25,677.5,485.5,946.0,588.25,821.75,567.0,589.5,951.0,430.0,930.25,763.0,376.75,466.5,379.75,941.5,767.25,929.75,612.75,913.75,867.0,910.25,471.0,863.75,926.5,930.75
3.0,3.5,4.75,3.25,5.5,5.75,3.0,3.0,3.5,4.25,4.25,4.0,4.5,4.0,5.0,4.0,4.25,5.25,4.5,3.75,4.0,3.25,3.75,4.5,4.0,3.75,4.25,4.75,3.25,4.5,5.0,3.25,3.5,5.25,4.25,5.0
211.5,240.5,212.25,257.5,221.0,291.25,206.75,263.25,83.5,135.75,122.75,122.25,53.5,286.75,89.25,166.75,93.5,87.25,299.75,37.0,268.75,192.25,29.0,44.25,35.25,269.25,212.0,270.0,63.0,260.0,236.75,243.0,41.5,236.75,273.0,252.5
327.0,382.0,332.25,406.5,343.75,457.75,320.25,412.5,251.25,293.75,330.5,290.5,180.0,414.75,231.5,371.5,231.0,232.0,415.5,150.0,394.0,291.5,119.25,169.0,125.0,418.0,311.0,399.0,245.5,401.0,372.5,397.0,165.0,369.25,386.25,410.5
273.5,315.25,275.75,318.5,280.25,371.5,275.75,335.25,316.25,312.5,320.75,299.0,268.5,332.0,290.75,331.25,262.25,290.0,338.25,258.25,332.0,305.5,239.25,268.25,230.75,337.75,282.0,327.25,316.5,319.25,311.0,328.25,278.25,310.25,337.5,336.0
776.5,890.0,775.5,926.75,796.0,957.0,765.5,936.5,629.75,708.5,739.0,673.5,483.0,947.0,591.0,827.25,565.25,585.5,948.0,429.75,930.5,762.75,375.25,467.25,379.0,938.25,765.25,925.75,611.25,912.25,866.0,910.25,473.0,865.0,928.75,930.0
3.25,3.25,4.25,3.25,5.75,5.75,3.25,3.0,3.25,4.5,4.25,4.5,4.25,4.25,4.75,4.25,4.25,5.0,4.75,4.75,3.75,3.25,3.75,4.0,4.5,3.25,4.0,4.0,3.0,4.5,5.5,3.25,3.0,5.0,3.5,5.0
212.25,239.5,211.75,260.25,222.25,290.0,206.5,264.25,87.0,138.25,120.5,119.25,54.5,286.25,90.0,163.75,92.5,85.5,298.5,36.5,272.25,195.0,30.0,44.75,35.25,269.5,211.5,272.75,61.0,259.5,237.25,244.5,41.25,240.0,276.0,253.5
328.25,382.0,330.5,407.25,343.5,457.75,320.5,412.25,248.25,293.75,331.75,288.0,176.75,414.0,232.25,368.25,233.25,230.25,411.25,146.5,394.0,297.5,120.5,168.25,124.0,420.25,311.5,394.5,247.25,395.75,370.5,396.0,168.0,370.0,384.0,411.75
273.25,312.0,275.75,316.5,280.25,369.5,276.75,337.75,314.75,311.25,322.25,298.5,269.25,330.75,288.5,329.75,263.0,285.75,338.0,250.75,336.0,308.75,240.5,270.25,231.0,340.75,279.25,328.75,317.5,318.75,312.5,326.25,278.25,312.25,336.25,339.0
776.5,887.75,780.5,924.0,797.0,957.25,767.25,937.0,629.0,707.75,743.5,675.0,484.5,942.25,588.75,824.5,564.75,587.75,948.5,430.5,931.0,764.5,377.0,464.5,379.75,944.25,765.5,929.25,609.25,911.0,865.25,911.0,472.25,865.5,927.0,931.5
3.5,3.75,4.0,3.5,5.75,5.5,3.5,3.5,3.5,4.25,4.25,4.0,4.0,4.5,5.0,4.5,4.25,4.5,4.0,4.25,4.0,3.25,4.5,4.25,4.5,3.75,3.75,4.5,3.25,4.75,5.25,3.25,3.25,5.25,3.5,5.0
213.0,242.5,211.75,258.5,222.25,289.25,205.5,267.25,85.5,135.5,124.75,121.5,56.0,285.75,91.75,163.0,90.75,87.25,295.0,37.25,269.75,193.0,28.75,43.25,35.75,269.0,210.0,273.25,63.5,257.5,238.5,244.25,42.25,238.0,275.0,253.25
328.0,381.0,332.75,408.25,342.25,458.0,320.0,408.5,251.25,293.75,329.5,285.0,179.25,413.75,228.75,372.5,231.25,233.25,411.75,149.5,393.75,298.0,119.5,170.5,122.0,418.75,314.75,398.25,245.5,397.75,371.25,397.0,165.25,371.0,385.25,410.0
272.5,315.0,274.0,320.25,280.0,369.0,277.75,333.75,313.5,311.75,319.5,298.25,269.25,331.0,288.75,330.5,261.0,289.25,335.75,257.0,336.25,307.75,239.25,269.0,230.0,338.0,282.0,328.5,315.5,320.75,313.75,328.25,278.0,310.0,336.5,336.75
772.5,885.25,774.0,925.5,799.5,954.5,763.5,941.0,629.75,713.5,743.25,680.25,480.5,943.5,589.5,823.75,563.0,588.25,948.5,430.5,932.25,760.0,376.75,465.0,377.75,946.25,765.25,928.0,608.5,911.25,867.0,911.0,469.5,865.5,931.0,930.5
4.0,3.0,4.75,3.0,5.5,5.75,3.0,3.25,4.0,5.0,4.25,4.25,4.25,4.5,4.75,4.0,4.25,4.5,3.75,3.75,4.0,3.5,4.0,4.0,4.75,3.5,4.5,4.0,3.0,4.25,5.5,3.25,3.25,5.0,3.5,5.25
210.75,237.75,213.5,256.5,219.25,290.75,206.5,263.75,84.25,136.75,122.0,120.75,52.75,287.25,91.5,164.0,93.0,85.25,297.75,37.5,269.75,195.5,29.75,41.75,34.25,269.25,210.0,271.5,63.25,255.25,237.0,241.25,41.5,239.5,276.0,253.25
329.75,381.75,331.0,410.0,343.5,457.5,318.5,411.75,250.25,291.5,329.5,287.25,180.0,416.25,229.5,369.5,233.5,232.5,410.5,151.25,390.25,295.5,120.5,169.25,122.25,419.75,312.25,397.25,244.75,397.75,372.0,396.0,166.0,371.5,384.75,409.75
