P1000_No_Reagent_KH_2_PO_4 concentrate 1,000 mg/L rum time 30s/color 3 loops:
09/09/2023,13:43:46
387,Red_14,335
388,Red_15,332
389,Red_16,330
390,Red_17,327
391,Red_18,328
392,Red_19,323
393,Red_20,333
394,Red_21,329
395,Red_22,330
396,Red_23,332
397,Red_24,330
398,Red_25,329
399,Red_26,331
400,Red_27,332
401,Red_28,331
402,Red_29,332
403,Green_1,335
404,Green_2,201
405,Green_3,199
406,Green_4,202
407,Green_5,198
408,Green_6,196
409,Green_7,199
410,Green_8,200
411,Green_9,203
412,Green_10,200
413,Green_11,199
414,Green_12,199
415,Green_13,201
416,Green_14,201
417,Green_15,198
418,Green_16,199
419,Green_17,201
420,Green_18,199
421,Green_19,200
422,Green_20,200
423,Green_21,193
424,Green_22,202
425,Green_23,204
426,Green_24,204
427,Green_25,198
428,Green_26,198
429,Green_27,200
430,Green_28,198
431,Green_29,198
432,Blue_1,198
433,Blue_2,321
434,Blue_3,326
435,Blue_4,329
436,Blue_5,326
437,Blue_6,328
438,Blue_7,321
439,Blue_8,324
440,Blue_9,330
441,Blue_10,323
442,Blue_11,323
443,Blue_12,320
444,Blue_13,318
445,Blue_14,322
446,Blue_15,322
447,Blue_16,327
448,Blue_17,322
449,Blue_18,322
450,Blue_19,331
451,Blue_20,324
452,Blue_21,327
453,Blue_22,323
454,Blue_23,327
455,Blue_24,325
456,Blue_25,329
457,Blue_26,324
458,Blue_27,325
459,Blue_28,324
460,Black_1,327
461,Black_2,6
462,Black_3,4
463,Black_4,6
464,Black_5,6
465,Black_6,5
466,Black_7,5
467,Black_8,6
468,Black_9,4
469,Black_10,5
470,Black_11,5
471,Black_12,5
472,Black_13,4
473,Black_14,4
474,Black_15,5
475,Black_16,4
476,Black_17,6
477,Black_18,5
478,Black_19,5
479,Black_20,4
480,Black_21,6
481,Black_22,5
482,Black_23,5
483,Black_24,5
484,Black_25,6
485,Black_26,5
486,Black_27,5
487,Black_28,6
488,Black_29,5
489,Black_0,5
490,Black_0,5
491,Black_0,7
492,Black_0,4
493,Black_0,5
494,Black_0,6
495,Black_0,5
496,Black_0,4
497,Black_0,5
498,Black_0,6
499,Black_0,5
500,Black_0,6
501,Black_0,5
502,Black_0,5
503,Black_0,4
504,Black_0,5
505,Black_0,6
506,Black_0,5
507,Black_0,6
508,Black_0,5
509,Black_0,5
510,Black_0,5
511,Black_0,5
512,Black_0,5
513,Black_0,5
514,Black_0,5
515,Black_0,6
516,Black_0,5
517,Black_0,4
518,White_1,5
519,White_2,807
520,White_3,800
521,White_4,808
522,White_5,808
523,White_6,811
524,White_7,803
525,White_8,807
526,White_9,814
527,White_10,810
528,White_11,805
529,White_12,806
530,White_13,804
531,White_14,813
532,White_15,807
533,White_16,808
534,White_17,806
535,White_18,806
536,White_19,812
537,White_20,805
538,White_21,807
539,White_22,812
540,White_23,810
