dataset,sample_name,integration_time_ms,gain,net_intensity_red,net_intensity_green,net_intensity_blue,net_intensity_clear
7_soil_calibration,BLACK,614.0,1.0,5331.388571428572,4135.605714285714,3307.5657142857144,12313.917142857143
7_soil_calibration,C,480.0,1.0,2995.1243386243386,2511.425925925926,3089.116402116402,8247.288359788361
7_soil_calibration,blank,24.0,1.0,65.0,53.54545454545455,34.91954022988506,150.85005224660395
7_soil_calibration,RER,2.4,60.0,500.0,425.4583333333333,725.6382978723404,930.0
7_soil_calibration,B,499.0,1.0,2976.801587301587,2606.1825396825398,3384.0714285714284,8590.838624338625
7_soil_calibration,C,401.0,1.0,2496.794805194805,2108.3441558441555,2513.37012987013,6830.087012987013
7_soil_calibration,C,240.0,1.0,1575.4147104851331,1327.2057902973397,1588.7856025039123,4309.090766823161
7_soil_calibration,C,540.0,1.0,3283.831560283688,2757.702127659574,3323.554964539007,8985.214539007091
7_soil_calibration,BLACK,614.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,BLACK,50.0,1.0,160.0909090909091,134.0,116.5813953488372,400.6522198731501
7_soil_calibration,E,24.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,E,2.4,1.0,15.533039647577093,2.75,2.2676211453744486,10.060205580029368
7_soil_calibration,BLACK,60.0,1.0,191.13636363636363,160.0909090909091,137.54545454545453,476.9334038054968
7_soil_calibration,blank0,50.0,1.0,129.29536679536682,106.27702702702703,76.75160875160876,306.60231660231665
7_soil_calibration,blankA,24.0,1.0,61.0,51.0,39.22581552305962,151.2258155230596
7_soil_calibration,RER,499.0,1.0,1223.2748226950355,1027.5833333333333,1671.8705673758864,3769.196808510638
7_soil_calibration,Blank,600.0,1.0,5599.875,4372.84375,3605.0572916666665,13577.776041666666
7_soil_calibration,B,600.0,1.0,3357.6595744680853,2936.8297872340427,3883.61524822695,9748.333333333334
7_soil_calibration,BLACK,420.0,1.0,1062.7089947089949,883.0740740740741,750.4470899470899,2631.976190476191
7_soil_calibration,D,614.0,1.0,2878.8475177304963,2444.4698581560283,3195.145390070922,8171.336879432623
7_soil_calibration,A,480.0,1.0,2327.6623376623374,1947.796103896104,2167.694805194805,6194.267532467533
7_soil_calibration,A,540.0,1.0,2493.436170212766,2075.345744680851,2324.2588652482273,6625.75
7_soil_calibration,D,24.0,1.0,148.07692307692307,127.73076923076923,164.96003016591254,422.28506787330315
7_soil_calibration,A,240.0,1.0,1229.611111111111,1032.0195618153364,1160.4358372456966,3289.2159624413143
7_soil_calibration,blank,50.0,1.0,137.36363636363637,112.0909090909091,73.18181818181819,317.6818181818182
7_soil_calibration,A,401.0,1.0,1940.9636363636364,1622.2753246753248,1818.2285714285715,5172.467532467533
7_soil_calibration,Blank,600.0,1.0,5633.461139896373,4831.082901554404,3034.1776897287414,13498.72173117952
7_soil_calibration,D,420.0,1.0,2088.1233766233768,1779.151948051948,2274.818181818182,5892.505194805194
7_soil_calibration,E,2.4,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,E,24.0,1.0,147.85589519650654,130.99126637554585,148.32532751091702,410.8585152838428
7_soil_calibration,BLACK,614.0,1.0,1495.5217391304348,1240.9420289855072,1049.054347826087,3695.090579710145
7_soil_calibration,blank,300.0,1.0,658.7049180327868,534.5362997658079,341.08430913348946,1512.5538641686182
7_soil_calibration,blankA,24.0,1.0,61.16363636363636,51.554545454545455,40.027272727272724,149.78181818181818
7_soil_calibration,Blank,300.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,blank,50.0,1.0,137.72727272727272,112.18181818181819,73.51057082452431,318.4756871035941
7_soil_calibration,D,60.0,1.0,364.4166666666667,313.4583333333333,406.7916666666667,1038.9763157894736
7_soil_calibration,C,614.0,1.0,3657.395390070922,3066.9290780141846,3675.824468085106,9978.33865248227
7_soil_calibration,E,600.0,1.0,2929.196808510638,2517.2943262411345,3201.6063829787236,8300.287234042553
7_soil_calibration,blank,2.4,1.0,7.0,5.946808510638298,2.9468085106382977,15.851063829787234
7_soil_calibration,blank,50.0,1.0,137.54545454545453,112.13636363636364,73.18181818181819,318.09090909090907
7_soil_calibration,blankA,24.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,C,420.0,1.0,2633.1974025974027,2217.694805194805,2647.7467532467535,7193.979220779221
7_soil_calibration,BLACK,24.0,1.0,76.0,64.0,55.5531914893617,190.56560283687944
7_soil_calibration,BLACK,2.4,60.0,478.3333333333333,314.7907801418439,241.24290780141843,675.9893617021277
7_soil_calibration,blankA,24.0,1.0,60.53846153846154,51.5,38.57692307692308,147.69230769230768
7_soil_calibration,Blank,300.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,blankA,24.0,1.0,62.0,52.0,41.833333333333336,152.83333333333334
7_soil_calibration,B,420.0,1.0,2501.379220779221,2191.084415584415,2854.418181818182,7231.16883116883
7_soil_calibration,BLACK,600.0,1.0,1457.6304347826087,1207.4239130434783,1029.7427536231885,3605.4818840579715
7_soil_calibration,RER,50.0,1.0,163.4090909090909,138.72727272727272,232.82915360501568,513.3401253918495
7_soil_calibration,blank,614.0,4.0,4850.665217391304,3947.413043478261,2463.778260869565,11105.991304347826
7_soil_calibration,blankA,24.0,1.0,62.0,52.0,41.15384615384615,152.07692307692307
7_soil_calibration,D,600.0,1.0,2845.810283687943,2415.053191489362,3114.5425531914893,8034.673758865249
7_soil_calibration,Blank,300.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,C,60.0,1.0,441.0565789473684,372.3548245614035,453.21447368421053,1213.923245614035
7_soil_calibration,blankA,24.0,1.0,62.03571428571429,52.035714285714285,40.0,151.3025974025974
7_soil_calibration,B,614.0,1.0,3254.021276595745,2864.343971631206,3880.446808510638,9572.668439716312
7_soil_calibration,C,24.0,1.0,186.69230769230768,159.0,193.08700522778193,516.6646751306946
7_soil_calibration,RER,540.0,1.0,1312.2375886524821,1108.3705673758864,1773.6684397163122,4030.622340425532
7_soil_calibration,blankA,24.0,1.0,62.25,52.125,40.125,152.125
7_soil_calibration,RER,240.0,1.0,644.0922619047619,545.8065476190476,908.3095238095239,2015.8154761904761
7_soil_calibration,RER,401.0,1.0,1034.8376623376623,873.7766233766233,1451.3259740259741,3227.105194805195
7_soil_calibration,Blank,300.0,1.0,780.4742857142858,648.5085714285714,443.9933333333333,1872.9761904761904
7_soil_calibration,blankA,24.0,1.0,62.0,52.0,41.75,153.25
7_soil_calibration,blank,120.0,1.0,320.9102564102564,262.27777777777777,168.94444444444446,742.0299145299145
7_soil_calibration,blank0,2.4,1.0,7.0,5.912698412698413,2.9360119047619047,15.753968253968253
7_soil_calibration,E,420.0,1.0,2130.8558441558444,1834.3493506493505,2334.107792207792,6046.185714285714
7_soil_calibration,blank0,2.4,1.0,7.0,6.0,3.0,15.8125
7_soil_calibration,A,499.0,1.0,2445.6719576719574,2043.801587301587,2290.304232804233,6516.679894179894
7_soil_calibration,BLACK,614.0,60.0,45218.04710144927,41975.45289855073,40963.213768115944,28308.82608695652
7_soil_calibration,blankA,24.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,Blank,300.0,1.0,0.0,0.0,0.0,0.0
7_soil_calibration,E,614.0,1.0,2990.7358156028367,2569.645390070922,3262.398936170213,8468.014184397163
